iter	F1	Logloss
0	0.206854094	0.6897146323
1	0.1244596132	0.6868821161
2	0.09256975037	0.6844942116
3	0.09673080297	0.6821596253
4	0.1009467387	0.6798067075
5	0.1123725672	0.6777809832
6	0.1177216649	0.6757649437
7	0.09791360564	0.6741800326
8	0.09385514432	0.6726806502
9	0.1100693029	0.6710002205
10	0.112579312	0.6696700319
11	0.1120363361	0.6683184578
12	0.1196224886	0.6669397494
13	0.1239836226	0.6656345015
14	0.1236363636	0.6646150435
15	0.1295295065	0.6637346956
16	0.1333486608	0.662749761
17	0.1282613715	0.662013947
18	0.1335328652	0.6611451513
19	0.1359958685	0.6604287577
20	0.1320656871	0.6598076584
21	0.136650235	0.6587045937
22	0.1343832624	0.6580000584
23	0.137132374	0.6574704998
24	0.142041562	0.6569246337
25	0.1437774357	0.6560787254
26	0.1450777202	0.6555282369
27	0.1486402089	0.6550760563
28	0.1551471417	0.6545728502
29	0.1576726127	0.6541590338
30	0.1668433681	0.6536872585
31	0.1676880223	0.6532085861
32	0.1684585817	0.6526229642
33	0.1714476318	0.6519772806
34	0.1766854865	0.6513821645
35	0.1814878035	0.6507656258
36	0.1866505918	0.6503603678
37	0.1911828896	0.6498901945
38	0.1932777687	0.64952997
39	0.1965556582	0.649112391
40	0.1958673192	0.648783841
41	0.1994033089	0.6482159958
42	0.2016988584	0.6477805082
43	0.2037597234	0.6475047465
44	0.2039779483	0.6471908172
45	0.2068928379	0.6467634344
46	0.2090194812	0.6464623178
47	0.2118707739	0.6459465559
48	0.2146074646	0.6455920168
49	0.2150664381	0.6453811662
50	0.216800428	0.6451070199
51	0.2166497353	0.644831416
52	0.2193286728	0.6445138307
53	0.2210015466	0.6441698406
54	0.2264351336	0.6437842178
55	0.2298814062	0.6434086339
56	0.2306797759	0.6430933843
57	0.2328991087	0.642777265
58	0.2344813037	0.6425874576
59	0.235213495	0.6423964968
60	0.2375644127	0.642087966
61	0.2399748058	0.6416732741
62	0.2422177969	0.6411989712
63	0.2421637488	0.6410109414
64	0.2432206052	0.6407688865
65	0.2477959205	0.6404298175
66	0.2498437174	0.6401183353
67	0.2520143474	0.6398241897
68	0.2534684334	0.6395021401
69	0.2565298507	0.6392929748
70	0.2572760228	0.6390479317
71	0.2579876754	0.6387156738
72	0.2613272784	0.638394606
73	0.2646271117	0.6380473547
74	0.265980972	0.6377740376
75	0.2685341953	0.6375533839
76	0.2695108194	0.6372437522
77	0.2723595966	0.636939328
78	0.2748403576	0.6366107884
79	0.2769168026	0.6363313675
80	0.2783547139	0.6360372982
81	0.2786551197	0.6358114632
82	0.2799593082	0.6355320985
83	0.2812722284	0.635214389
84	0.283641897	0.6349440099
85	0.2842521281	0.6347101512
86	0.2849331713	0.6344239216
87	0.2868562177	0.6341853915
88	0.287837428	0.633923703
89	0.2895612708	0.6336863188
90	0.291614203	0.6334142246
91	0.2943274883	0.6331037657
92	0.2962034204	0.6328273769
93	0.2977443609	0.632609376
94	0.300769923	0.6322570978
95	0.3020244939	0.6320735387
96	0.3033113904	0.6318097695
97	0.3062086792	0.6315078534
98	0.308028183	0.6312583463
99	0.3100322021	0.6309827768
100	0.3117242743	0.6307728011
101	0.3139615195	0.6305130112
102	0.3151873767	0.6301952434
103	0.3162561576	0.6299556587
104	0.3177321719	0.6297926494
105	0.3182958626	0.6295841937
106	0.3186667322	0.6293194589
107	0.3205379933	0.6290020991
108	0.3216001569	0.6287980641
109	0.322605927	0.6285725134
110	0.3238747554	0.6283733803
111	0.3254859822	0.6281547091
112	0.3272638516	0.6279333438
113	0.3280128862	0.6277253652
114	0.3296938974	0.6274528002
115	0.3307831002	0.6272446906
116	0.3326514709	0.6269754073
117	0.3326516701	0.6267993964
118	0.3335927619	0.6266434894
119	0.3334144087	0.6264416285
120	0.3340302426	0.6262704444
121	0.3350332702	0.6260060604
122	0.3365165544	0.6257972486
123	0.3385002906	0.6254474151
124	0.3388861985	0.6252855826
125	0.3387893462	0.625085985
126	0.340540802	0.6249237168
127	0.3422387555	0.6247484925
128	0.3436399595	0.6245277712
129	0.343006132	0.624409784
130	0.3436761087	0.624280593
131	0.3444085451	0.6240790225
132	0.3447378566	0.6239477081
133	0.3452065359	0.6237423899
134	0.3459370936	0.6236169972
135	0.3464149853	0.6234598485
136	0.3469554753	0.6232367516
137	0.3503404623	0.6229844892
138	0.3531438415	0.6226569897
139	0.3538807326	0.6224880311
140	0.3549651152	0.6222372684
141	0.356092437	0.6219934473
142	0.3576607518	0.6218081445
143	0.3582630249	0.6216077233
144	0.3594285714	0.6214486823
145	0.3597999524	0.6213116298
146	0.3600190386	0.6211540964
147	0.361527124	0.6209467237
148	0.362427581	0.6207699611
149	0.3643778452	0.6206194563
150	0.3655995454	0.6204116264
151	0.3664411111	0.6201918224
152	0.3670263108	0.620011043
153	0.3673681721	0.6199055836
154	0.3680801778	0.6197456876
155	0.3694225412	0.619485686
156	0.3712331997	0.6192576089
157	0.3713545347	0.6190630455
158	0.3721631039	0.6189346158
159	0.3739470093	0.6186293366
160	0.3735053196	0.6184504421
161	0.3736936258	0.618215657
162	0.3742233101	0.61804281
163	0.3761398891	0.6178920523
164	0.3763920868	0.6177566256
165	0.3776775648	0.6175784184
166	0.3784215221	0.6174362626
167	0.3794688937	0.6172694
168	0.379983116	0.6170800922
169	0.3808631273	0.6169476517
170	0.3818709617	0.6167065137
171	0.3832116788	0.616479328
172	0.3837949102	0.61629793
173	0.3843672573	0.6161311816
174	0.3846477491	0.6159901828
175	0.3856288544	0.6157392628
176	0.3865216783	0.6155347081
177	0.3876627316	0.6153068289
178	0.3891947373	0.6151112616
179	0.3902348118	0.6149081373
180	0.3903075489	0.6147469583
181	0.3911686618	0.6145226859
182	0.3910937209	0.6144038314
183	0.3922189129	0.6141448609
184	0.3923520655	0.6139222403
185	0.3928172683	0.6137612715
186	0.3931941797	0.6136309873
187	0.3950215948	0.6133379185
188	0.395840104	0.6130439366
189	0.3975137993	0.6128140584
190	0.3984603256	0.6125793244
191	0.3989433193	0.6123912903
192	0.3994071878	0.6121694856
