iter	Passed	Remaining
0	16	4968
1	34	5147
2	49	4862
3	63	4717
4	78	4613
5	90	4445
6	102	4274
7	114	4193
8	128	4155
9	144	4189
10	158	4165
11	171	4112
12	185	4096
13	202	4138
14	212	4038
15	222	3942
16	231	3856
17	246	3854
18	260	3858
19	276	3872
20	288	3836
21	301	3807
22	318	3833
23	329	3794
24	343	3775
25	353	3730
26	368	3725
27	379	3690
28	394	3686
29	405	3653
30	418	3627
31	430	3606
32	449	3638
33	461	3614
34	478	3625
35	491	3602
36	506	3596
37	518	3576
38	529	3544
39	539	3509
40	553	3494
41	564	3468
42	577	3452
43	592	3449
44	607	3444
45	625	3454
46	638	3435
47	653	3430
48	666	3412
49	677	3389
50	690	3373
51	704	3360
52	719	3351
53	739	3367
54	756	3368
55	775	3376
56	790	3370
57	803	3353
58	816	3336
59	830	3322
60	845	3312
61	864	3319
62	879	3308
63	897	3311
64	912	3299
65	928	3290
66	945	3288
67	960	3278
68	980	3283
69	995	3270
70	1008	3253
71	1023	3240
72	1037	3225
73	1051	3210
74	1063	3190
75	1077	3175
76	1090	3158
77	1104	3144
78	1119	3130
79	1133	3116
80	1147	3101
81	1159	3082
82	1174	3070
83	1186	3052
84	1200	3035
85	1214	3023
86	1228	3007
87	1241	2991
88	1253	2971
89	1266	2954
90	1280	2939
91	1293	2923
92	1306	2907
93	1318	2889
94	1330	2871
95	1342	2852
96	1353	2833
97	1366	2817
98	1379	2799
99	1388	2777
100	1400	2759
101	1412	2742
102	1423	2723
103	1434	2703
104	1448	2690
105	1467	2685
106	1478	2666
107	1489	2647
108	1500	2629
109	1513	2614
110	1534	2613
111	1549	2600
112	1563	2586
113	1578	2574
114	1591	2560
115	1605	2546
116	1617	2530
117	1631	2516
118	1644	2501
119	1657	2486
120	1669	2469
121	1680	2451
122	1692	2435
123	1708	2425
124	1720	2409
125	1734	2394
126	1747	2380
127	1758	2363
128	1768	2344
129	1780	2328
130	1792	2312
131	1803	2295
132	1816	2280
133	1828	2265
134	1840	2249
135	1851	2232
136	1861	2215
137	1874	2200
138	1887	2185
139	1900	2172
140	1915	2159
141	1929	2146
142	1955	2146
143	1972	2137
144	1983	2120
145	1997	2106
146	2014	2097
147	2029	2084
148	2044	2072
149	2057	2057
150	2068	2040
151	2077	2022
152	2089	2007
153	2101	1992
154	2112	1975
155	2126	1963
156	2139	1948
157	2151	1933
158	2163	1918
159	2182	1910
160	2197	1897
161	2212	1884
162	2226	1871
163	2240	1857
164	2252	1842
165	2263	1826
166	2276	1813
167	2291	1800
168	2311	1791
169	2325	1778
170	2338	1763
171	2352	1750
172	2366	1737
173	2382	1725
174	2397	1712
175	2416	1702
176	2426	1686
177	2439	1671
178	2451	1657
179	2465	1643
180	2480	1630
181	2493	1616
182	2504	1601
183	2515	1585
184	2536	1576
185	2548	1561
186	2562	1548
187	2575	1534
188	2592	1522
189	2606	1509
190	2619	1494
191	2636	1482
192	2648	1468
193	2662	1454
194	2675	1440
195	2685	1424
196	2695	1409
197	2707	1394
198	2716	1378
199	2727	1363
200	2740	1349
201	2754	1336
202	2764	1320
203	2776	1306
204	2788	1292
205	2800	1278
206	2812	1263
207	2826	1250
208	2840	1236
209	2852	1222
210	2866	1209
211	2882	1196
212	2894	1182
213	2910	1169
214	2920	1154
215	2931	1140
216	2941	1124
217	2952	1110
218	2971	1099
219	2982	1084
220	2994	1070
221	3006	1056
222	3018	1042
223	3031	1028
224	3043	1014
225	3056	1000
226	3072	988
227	3085	974
228	3098	960
229	3110	946
230	3124	933
231	3136	919
232	3149	905
233	3161	891
234	3174	878
235	3186	864
236	3199	850
237	3211	836
238	3223	822
239	3237	809
240	3250	795
241	3262	781
242	3276	768
243	3289	755
244	3302	741
245	3315	727
246	3328	714
247	3342	700
248	3354	687
249	3366	673
250	3379	659
251	3392	646
252	3404	632
253	3416	618
254	3428	604
255	3442	591
256	3455	578
257	3471	565
258	3483	551
259	3496	537
260	3508	524
261	3521	510
262	3534	497
263	3546	483
264	3557	469
265	3572	456
266	3584	443
267	3596	429
268	3608	415
269	3620	402
270	3633	388
271	3646	375
272	3659	361
273	3673	348
274	3685	335
275	3698	321
276	3711	308
277	3722	294
278	3736	281
279	3749	267
280	3762	254
281	3775	241
282	3788	227
283	3800	214
284	3812	200
285	3824	187
286	3837	173
287	3848	160
288	3864	147
289	3878	133
290	3886	120
291	3893	106
292	3903	93
293	3913	79
294	3922	66
295	3931	53
296	3939	39
297	3946	26
298	3953	13
299	3963	0

