name,tag,sharpe,maxdd,cagr,worst_day,ann_vol
A-xau-champ-h4,,1.019,-19.8,13.5,-6.39,13.3
B-fx7-fast,,-0.363,-68.9,-9.2,-8.08,20.6
B-fx7-slow,,-0.39,-72.4,-9.8,-9.85,20.9
C-silver-ls,,-0.029,-54.4,-1.4,-13.76,14.1
C-silver-longonly,,0.429,-24.2,4.7,-13.76,12.6
D-gold-d1-longonly,,0.645,-20.1,8.1,-11.11,13.5
B-fx7-fast-2008+,,-0.09,-70.3,-4.0,-14.28,21.1
C-silver-ls-2008+,,0.127,-60.9,0.8,-13.76,14.4
K1-xau60-fx40,,0.393,-20.8,4.0,-4.05,11.7
K2-xau50-fx35-agls15,,0.338,-20.7,3.1,-4.75,10.8
K3-xau50-fx30-aglo20,,0.495,-18.0,4.8,-5.46,10.5
K4-xau40-fx40-agls20,,0.167,-23.7,1.2,-4.84,10.9
K5-equal3,,0.142,-27.9,0.9,-6.33,10.4
K6-xau70-fx30,,0.599,-17.8,6.4,-4.64,11.4
FX-xs12m,,-0.151,-42.3,-2.8,-4.36,13.2
FX-xs3m,,-0.359,-51.2,-5.3,-4.28,12.9
FX-meanrev-trendgated,,-0.145,-32.1,-1.0,-3.77,5.6
FX-carry,,0.059,-34.7,-0.2,-6.92,14.9
SILVER-champrecipe-LO,,0.494,-23.0,5.6,-9.5,12.8
SILVER-champrecipe-LO-2008+,,0.481,-29.5,5.0,-9.5,11.6
B-xau100,,1.015,-20.5,13.7,-6.39,13.5
B-xau85-ag15,,0.994,-20.1,12.5,-6.26,12.7
B-xau80-ag20,,0.983,-19.9,12.1,-6.45,12.5
B-xau70-ag30,,0.952,-19.7,11.4,-6.83,12.1
