time,symbol,position_change,new_position
2017-01-03 00:00:00,EURUSD,0.138701,-0.360771
2017-01-03 00:00:00,GBPUSD,0.132283,-0.331744
2017-01-03 00:00:00,USDJPY,-0.131842,0.334441
2017-01-03 00:00:00,GOLD,-0.793293,-0.793293
2017-01-05 00:00:00,GOLD,0.088324,-0.704969
2017-01-06 00:00:00,EURUSD,0.068504,-0.292267
2017-01-06 00:00:00,GBPUSD,0.039742,-0.292003
2017-01-06 00:00:00,GOLD,0.066724,-0.638245
2017-01-09 00:00:00,USDJPY,-0.04923,0.28521
2017-01-09 00:00:00,GOLD,0.051921,-0.586325
2017-01-10 00:00:00,EURUSD,0.029772,-0.262495
2017-01-11 00:00:00,GOLD,0.103384,-0.482941
2017-01-12 00:00:00,USDJPY,-0.031362,0.253848
2017-01-12 00:00:00,GOLD,0.051436,-0.431505
2017-01-16 00:00:00,EURUSD,-0.072143,-0.334639
2017-01-16 00:00:00,GBPUSD,-0.169196,-0.461199
2017-01-16 00:00:00,USDJPY,0.076024,0.329872
2017-01-16 00:00:00,GOLD,0.431505,0.0
2017-01-17 00:00:00,EURUSD,0.097671,-0.236968
2017-01-17 00:00:00,GBPUSD,0.135068,-0.326131
2017-01-17 00:00:00,USDJPY,-0.107067,0.222805
2017-01-17 00:00:00,GOLD,-0.314175,-0.314175
2017-01-18 00:00:00,EURUSD,0.029926,-0.207042
2017-01-18 00:00:00,GBPUSD,0.079453,-0.246677
2017-01-18 00:00:00,USDJPY,-0.030665,0.19214
2017-01-18 00:00:00,GOLD,0.052248,-0.261926
2017-01-19 00:00:00,GBPUSD,0.041439,-0.205238
2017-01-19 00:00:00,USDJPY,-0.032126,0.160014
2017-01-20 00:00:00,GOLD,0.045445,-0.216481
2017-01-23 00:00:00,EURUSD,0.042815,-0.164227
2017-01-24 00:00:00,GBPUSD,0.041541,-0.163697
2017-01-24 00:00:00,USDJPY,-0.033866,0.126148
2017-01-24 00:00:00,GOLD,0.064161,-0.15232
2017-01-25 00:00:00,EURUSD,0.031917,-0.132311
2017-01-26 00:00:00,GBPUSD,0.032372,-0.131324
2017-01-26 00:00:00,GOLD,-0.045029,-0.197349
2017-01-30 00:00:00,GOLD,-0.049264,-0.246613
2017-01-31 00:00:00,GOLD,0.044019,-0.202594
2017-02-01 00:00:00,EURUSD,0.039248,-0.093063
2017-02-02 00:00:00,GBPUSD,0.036905,-0.094419
2017-02-02 00:00:00,USDJPY,-0.032191,0.093957
2017-02-02 00:00:00,GOLD,0.059984,-0.14261
2017-02-06 00:00:00,GOLD,0.09706,-0.045549
2017-02-07 00:00:00,USDJPY,-0.029549,0.064408
2017-02-07 00:00:00,GOLD,0.059282,0.013732
2017-02-08 00:00:00,GOLD,0.058734,0.072467
2017-02-10 00:00:00,GOLD,0.075464,0.147931
2017-02-13 00:00:00,EURUSD,-0.051467,-0.14453
2017-02-14 00:00:00,EURUSD,-0.028721,-0.173251
2017-02-14 00:00:00,GBPUSD,-0.030275,-0.124695
2017-02-15 00:00:00,EURUSD,-0.031354,-0.204605
2017-02-16 00:00:00,USDJPY,0.032772,0.09718
2017-02-16 00:00:00,GOLD,0.047109,0.19504
2017-02-20 00:00:00,EURUSD,-0.098589,-0.303194
2017-02-20 00:00:00,GBPUSD,-0.087076,-0.211771
2017-02-20 00:00:00,USDJPY,0.028502,0.125682
2017-02-20 00:00:00,GOLD,-0.19504,0.0
2017-02-21 00:00:00,EURUSD,0.072595,-0.2306
2017-02-21 00:00:00,GBPUSD,0.058801,-0.15297
2017-02-21 00:00:00,USDJPY,-0.036596,0.089086
2017-02-21 00:00:00,GOLD,0.263424,0.263424
2017-02-23 00:00:00,EURUSD,-0.050054,-0.280654
2017-02-24 00:00:00,GOLD,0.099322,0.362747
2017-02-27 00:00:00,EURUSD,-0.031211,-0.311865
2017-02-27 00:00:00,GOLD,0.0668,0.429547
2017-03-01 00:00:00,GOLD,0.04484,0.474386
2017-03-02 00:00:00,EURUSD,-0.045405,-0.35727
2017-03-02 00:00:00,GBPUSD,-0.048974,-0.201945
2017-03-02 00:00:00,GOLD,-0.097763,0.376623
2017-03-03 00:00:00,EURUSD,-0.032218,-0.389488
2017-03-03 00:00:00,GOLD,-0.073741,0.302883
2017-03-06 00:00:00,EURUSD,0.072291,-0.317197
2017-03-06 00:00:00,GBPUSD,-0.035093,-0.237038
2017-03-06 00:00:00,GOLD,-0.052384,0.250498
2017-03-07 00:00:00,USDJPY,0.033395,0.122481
2017-03-07 00:00:00,GOLD,-0.084308,0.16619
2017-03-08 00:00:00,GBPUSD,-0.044832,-0.28187
2017-03-08 00:00:00,GOLD,-0.091585,0.074605
2017-03-09 00:00:00,GOLD,-0.099446,-0.024841
2017-03-10 00:00:00,GBPUSD,-0.053533,-0.335403
2017-03-10 00:00:00,USDJPY,0.046922,0.169402
2017-03-10 00:00:00,GOLD,-0.091199,-0.11604
2017-03-13 00:00:00,EURUSD,0.057643,-0.259554
2017-03-13 00:00:00,GOLD,-0.070503,-0.186543
2017-03-14 00:00:00,USDJPY,0.030431,0.199834
2017-03-14 00:00:00,GOLD,-0.063154,-0.249697
2017-03-15 00:00:00,GBPUSD,-0.0472,-0.382603
2017-03-15 00:00:00,GOLD,-0.064943,-0.31464
2017-03-16 00:00:00,EURUSD,0.087499,-0.172054
2017-03-16 00:00:00,GBPUSD,0.033169,-0.349434
2017-03-16 00:00:00,GOLD,0.137327,-0.177313
2017-03-17 00:00:00,EURUSD,0.049527,-0.122527
2017-03-17 00:00:00,GBPUSD,0.042469,-0.306965
2017-03-17 00:00:00,USDJPY,-0.04682,0.153013
2017-03-17 00:00:00,GOLD,0.070319,-0.106994
2017-03-20 00:00:00,GOLD,0.053691,-0.053303
2017-03-21 00:00:00,EURUSD,0.03303,-0.089497
2017-03-21 00:00:00,USDJPY,-0.044502,0.108512
2017-03-21 00:00:00,GOLD,0.086677,0.033373
2017-03-22 00:00:00,EURUSD,0.035792,-0.053705
2017-03-22 00:00:00,GBPUSD,0.062562,-0.244403
2017-03-22 00:00:00,USDJPY,-0.040879,0.067633
2017-03-22 00:00:00,GOLD,0.080494,0.113868
2017-03-23 00:00:00,USDJPY,-0.033422,0.034211
2017-03-23 00:00:00,GOLD,0.059725,0.173592
2017-03-24 00:00:00,EURUSD,0.034863,-0.018842
2017-03-24 00:00:00,GBPUSD,0.045605,-0.198799
2017-03-24 00:00:00,USDJPY,-0.034769,-0.000558
2017-03-24 00:00:00,GOLD,0.056662,0.230255
2017-03-27 00:00:00,EURUSD,0.032324,0.013482
2017-03-27 00:00:00,USDJPY,-0.039027,-0.039585
2017-03-27 00:00:00,GOLD,0.072067,0.302321
2017-03-28 00:00:00,EURUSD,0.029949,0.043431
2017-03-28 00:00:00,GBPUSD,0.039835,-0.158963
