time,symbol,position_change,new_position
2010-02-01 00:00:00,EURUSD,-0.033494,0.002686
2010-02-01 00:00:00,USDJPY,0.039338,-0.052454
2010-02-01 00:00:00,AUDUSD,-0.023596,0.050195
2010-02-01 00:00:00,USDCHF,0.041952,-0.062757
2010-02-01 00:00:00,EURGBP,-0.019178,-0.019192
2010-02-01 00:00:00,EURJPY,-0.007175,-0.014999
2010-02-01 00:00:00,AUDJPY,0.009108,0.018544
2010-02-01 00:00:00,SPX,-0.020017,0.021288
2010-02-01 00:00:00,DJI,-0.021372,0.02475
2010-02-01 00:00:00,DAX,0.026475,0.026475
2010-02-01 00:00:00,NIKKEI,0.010597,0.009811
2010-02-01 00:00:00,ASX,-0.013835,0.033181
2010-02-01 00:00:00,UST5Y,-0.163346,-0.166824
2010-02-01 00:00:00,UST2Y,-0.463733,-0.198723
2010-02-01 00:00:00,PALL,-0.022782,0.0
2010-02-01 00:00:00,NATGAS,0.014369,0.002757
2010-02-01 00:00:00,SOY,-0.017199,-0.025574
2010-02-01 00:00:00,COFFEE,-0.01956,0.020474
2010-02-01 00:00:00,COTTON,-0.010341,0.037533
2010-02-01 00:00:00,NZDJPY,0.009345,0.01488
2010-02-18 00:00:00,NDX,-0.016246,0.032894
2010-03-01 00:00:00,EURUSD,-0.035839,-0.033153
2010-03-01 00:00:00,GBPUSD,-0.025824,-0.021874
2010-03-01 00:00:00,USDCHF,0.039363,-0.023394
2010-03-01 00:00:00,USDCAD,0.02522,-0.048712
2010-03-01 00:00:00,EURJPY,-0.021972,-0.036971
2010-03-01 00:00:00,AUDJPY,-0.014598,0.003946
2010-03-01 00:00:00,EURAUD,0.020637,-0.054247
2010-03-01 00:00:00,SILVER,-0.046868,0.006833
2010-03-01 00:00:00,NIKKEI,-0.004909,0.004901
2010-03-01 00:00:00,STOXX,-0.014742,0.002193
2010-03-01 00:00:00,COPPER,-0.029736,0.026053
2010-03-01 00:00:00,PALL,0.040888,0.040888
2010-03-01 00:00:00,CORN,-0.013888,-0.012663
2010-03-01 00:00:00,SOY,0.006385,-0.019189
2010-03-01 00:00:00,COFFEE,-0.014229,0.006245
2010-03-01 00:00:00,NZDJPY,-0.014169,0.000711
2010-03-31 00:00:00,EURUSD,-0.023427,-0.056579
2010-03-31 00:00:00,GBPUSD,-0.01843,-0.040304
2010-03-31 00:00:00,USDCAD,-0.04088,-0.089592
2010-03-31 00:00:00,EURJPY,-0.008257,-0.045228
2010-03-31 00:00:00,GBPJPY,-0.021798,-0.029435
2010-03-31 00:00:00,AUDJPY,0.00747,0.011416
2010-03-31 00:00:00,SPX,0.030363,0.051651
2010-03-31 00:00:00,NDX,0.015944,0.048839
2010-03-31 00:00:00,DJI,0.032463,0.057213
2010-03-31 00:00:00,DAX,0.011613,0.038088
2010-03-31 00:00:00,FTSE,0.024756,0.052472
2010-03-31 00:00:00,NIKKEI,0.011068,0.01597
2010-03-31 00:00:00,STOXX,0.021975,0.024168
2010-03-31 00:00:00,UST2Y,0.482232,0.283508
2010-03-31 00:00:00,PALL,0.008842,0.04973
2010-03-31 00:00:00,GASOIL,0.013023,0.031965
2010-03-31 00:00:00,SUGAR,-0.032642,0.003596
2010-03-31 00:00:00,CADJPY,0.014511,0.017359
2010-03-31 00:00:00,AUDNZD,0.039757,0.0522
2010-03-31 00:00:00,GBPCHF,-0.033554,-0.059456
2010-04-30 00:00:00,USDJPY,0.041341,-0.011113
2010-04-30 00:00:00,EURJPY,0.013411,-0.031817
2010-04-30 00:00:00,GBPJPY,0.008968,-0.020467
2010-04-30 00:00:00,SILVER,0.037881,0.044714
2010-04-30 00:00:00,NIKKEI,0.013446,0.029416
2010-04-30 00:00:00,STOXX,-0.016483,0.007684
2010-04-30 00:00:00,UST5Y,-0.073074,-0.239898
2010-04-30 00:00:00,UST2Y,-0.39237,-0.108861
2010-04-30 00:00:00,COPPER,0.016068,0.042121
2010-04-30 00:00:00,PALL,-0.00413,0.0456
2010-04-30 00:00:00,HEATOIL,0.011448,0.031308
2010-04-30 00:00:00,GASOIL,0.01007,0.042035
2010-04-30 00:00:00,SOY,-0.008983,-0.028172
2010-04-30 00:00:00,NZDJPY,0.006891,0.007602
2010-04-30 00:00:00,GBPCHF,0.015698,-0.043757
2010-05-18 00:00:00,NATGAS,-0.007253,-0.004495
2010-06-01 00:00:00,GBPUSD,-0.02209,-0.062394
2010-06-01 00:00:00,AUDUSD,-0.050312,-0.000117
2010-06-01 00:00:00,USDCHF,0.069172,0.045778
2010-06-01 00:00:00,USDCAD,0.062825,-0.026767
2010-06-01 00:00:00,NZDUSD,-0.01983,0.000879
2010-06-01 00:00:00,EURJPY,0.007855,-0.023962
2010-06-01 00:00:00,AUDJPY,-0.011425,-9e-06
2010-06-01 00:00:00,EURCHF,0.069205,-0.048005
2010-06-01 00:00:00,EURAUD,0.035918,-0.018329
2010-06-01 00:00:00,SILVER,-0.02175,0.022964
2010-06-01 00:00:00,WTI,-0.011962,0.010991
2010-06-01 00:00:00,BRENT,-0.007839,0.014546
2010-06-01 00:00:00,SPX,-0.037546,0.014105
2010-06-01 00:00:00,NDX,-0.034225,0.014614
2010-06-01 00:00:00,DJI,-0.041203,0.016011
2010-06-01 00:00:00,DAX,-0.024435,0.013653
2010-06-01 00:00:00,FTSE,-0.040631,0.01184
2010-06-01 00:00:00,NIKKEI,-0.028834,0.000582
2010-06-01 00:00:00,STOXX,-0.009295,-0.00161
2010-06-01 00:00:00,ASX,-0.022906,0.010275
2010-06-01 00:00:00,UST10Y,0.171889,0.051029
2010-06-01 00:00:00,UST30Y,0.139996,0.029645
2010-06-01 00:00:00,UST5Y,0.290945,0.051047
2010-06-01 00:00:00,UST2Y,0.319708,0.210847
2010-06-01 00:00:00,COPPER,-0.028451,0.01367
2010-06-01 00:00:00,PLAT,0.006756,0.006756
2010-06-01 00:00:00,PALL,-0.034689,0.010911
2010-06-01 00:00:00,HEATOIL,-0.017381,0.013928
2010-06-01 00:00:00,GASOIL,-0.025088,0.016947
2010-06-01 00:00:00,COFFEE,-0.014494,-0.008249
2010-06-01 00:00:00,SUGAR,-0.02093,-0.017335
2010-06-01 00:00:00,NZDJPY,-0.007496,0.000106
2010-06-01 00:00:00,CADJPY,-0.014767,0.002593
2010-06-01 00:00:00,AUDNZD,-0.053491,-0.001291
2010-06-01 00:00:00,GBPCHF,0.022056,-0.021702
2010-06-01 00:00:00,GBPAUD,0.039851,-0.019545
2010-06-30 00:00:00,USDJPY,-0.036261,-0.047373
2010-06-30 00:00:00,EURGBP,-0.016836,-0.036028
2010-06-30 00:00:00,EURJPY,-0.007279,-0.03124
2010-06-30 00:00:00,AUDJPY,-0.010482,-0.010491
2010-06-30 00:00:00,WTI,-0.010504,0.000486
2010-06-30 00:00:00,BRENT,-0.013622,0.000924
2010-06-30 00:00:00,NIKKEI,-0.017392,-0.01681
2010-06-30 00:00:00,UST10Y,0.098002,0.149031
2010-06-30 00:00:00,UST30Y,0.05619,0.085834
2010-06-30 00:00:00,UST5Y,0.185172,0.23622
2010-06-30 00:00:00,UST2Y,0.496033,0.70688
2010-06-30 00:00:00,PLAT,0.013956,0.020712
2010-06-30 00:00:00,PALL,-0.006118,0.004793
2010-06-30 00:00:00,NATGAS,0.012317,0.007822
2010-06-30 00:00:00,GASOIL,-0.0126,0.004347
2010-06-30 00:00:00,SOY,-0.010916,-0.039088
2010-06-30 00:00:00,COFFEE,0.0413,0.033052
2010-06-30 00:00:00,AUDNZD,-0.024498,-0.025789
2010-07-19 00:00:00,STOXX,0.006067,0.004456
2010-08-02 00:00:00,GBPUSD,0.017451,-0.044944
2010-08-02 00:00:00,USDJPY,-0.039116,-0.08649
2010-08-02 00:00:00,USDCHF,-0.053354,-0.007576
2010-08-02 00:00:00,EURGBP,-0.024045,-0.060073
2010-08-02 00:00:00,WTI,0.015597,0.016083
2010-08-02 00:00:00,BRENT,0.014387,0.015311
2010-08-02 00:00:00,SPX,-0.014931,-0.000826
2010-08-02 00:00:00,DAX,0.009458,0.023111
2010-08-02 00:00:00,NIKKEI,-0.005107,-0.021917
2010-08-02 00:00:00,STOXX,-0.008212,-0.003755
2010-08-02 00:00:00,ASX,-0.016769,-0.006494
2010-08-02 00:00:00,UST30Y,0.068304,0.154138
2010-08-02 00:00:00,PLAT,-0.023213,-0.002501
2010-08-02 00:00:00,CORN,0.023859,0.011196
2010-08-02 00:00:00,WHEAT,0.017572,-0.003275
2010-08-02 00:00:00,SOY,0.024757,-0.014332
2010-08-02 00:00:00,CADJPY,-0.019773,-0.01718
2010-08-31 00:00:00,GBPUSD,0.012067,-0.032877
2010-08-31 00:00:00,USDCHF,-0.064519,-0.072095
2010-08-31 00:00:00,EURGBP,-0.013921,-0.073994
2010-08-31 00:00:00,EURJPY,-0.011268,-0.042508
2010-08-31 00:00:00,GBPJPY,-0.01124,-0.031707
2010-08-31 00:00:00,NIKKEI,-0.010881,-0.032798
2010-08-31 00:00:00,UST10Y,0.046797,0.195829
2010-08-31 00:00:00,UST30Y,-0.04685,0.107289
2010-08-31 00:00:00,UST5Y,0.071895,0.308115
2010-08-31 00:00:00,UST2Y,0.319321,1.026201
2010-08-31 00:00:00,COPPER,0.013009,0.026679
2010-08-31 00:00:00,PLAT,-0.005363,-0.007864
2010-08-31 00:00:00,PALL,0.018121,0.022914
2010-08-31 00:00:00,GASOIL,-0.01034,-0.005992
2010-08-31 00:00:00,CORN,0.015487,0.026682
2010-08-31 00:00:00,WHEAT,0.026703,0.023428
2010-08-31 00:00:00,SOY,0.009918,-0.004413
2010-08-31 00:00:00,COTTON,0.01833,0.055864
2010-08-31 00:00:00,NZDJPY,-0.008194,-0.008088
2010-08-31 00:00:00,AUDNZD,0.02213,-0.003659
2010-08-31 00:00:00,GBPCHF,-0.017079,-0.038781
2010-09-08 00:00:00,FTSE,-0.011004,0.000837
2010-09-30 00:00:00,GBPUSD,0.043802,0.010925
2010-09-30 00:00:00,AUDUSD,0.031768,0.031652
2010-09-30 00:00:00,NZDUSD,0.022368,0.023248
2010-09-30 00:00:00,EURGBP,0.019314,-0.054679
2010-09-30 00:00:00,EURAUD,-0.031208,-0.049537
2010-09-30 00:00:00,SILVER,0.040671,0.063635
2010-09-30 00:00:00,WTI,-0.016499,-0.000416
2010-09-30 00:00:00,BRENT,0.011246,0.026557
2010-09-30 00:00:00,FTSE,0.015581,0.016417
2010-09-30 00:00:00,STOXX,-0.009973,-0.013729
2010-09-30 00:00:00,ASX,-0.010805,-0.017299
2010-09-30 00:00:00,UST10Y,0.124951,0.320779
2010-09-30 00:00:00,UST30Y,0.064279,0.171568
2010-09-30 00:00:00,COPPER,0.017843,0.044522
2010-09-30 00:00:00,PLAT,0.062398,0.054535
2010-09-30 00:00:00,PALL,0.011762,0.034676
2010-09-30 00:00:00,NATGAS,-0.030626,-0.022804
2010-09-30 00:00:00,HEATOIL,0.013268,0.027196
2010-09-30 00:00:00,GASOIL,0.014987,0.008994
2010-09-30 00:00:00,CORN,0.015518,0.0422
2010-09-30 00:00:00,SOY,0.05736,0.052947
2010-09-30 00:00:00,SUGAR,0.019344,0.002009
2010-09-30 00:00:00,COTTON,-0.015983,0.039881
2010-09-30 00:00:00,NZDJPY,-0.013116,-0.021204
2010-09-30 00:00:00,CADJPY,-0.013455,-0.030636
2010-09-30 00:00:00,AUDNZD,0.074645,0.070986
2010-11-01 00:00:00,EURUSD,0.05212,-0.00446
2010-11-01 00:00:00,GBPUSD,-0.02629,-0.015365
2010-11-01 00:00:00,USDCHF,-0.022163,-0.094258
2010-11-01 00:00:00,EURGBP,0.04632,-0.00836
2010-11-01 00:00:00,AUDJPY,0.01275,0.00226
2010-11-01 00:00:00,WTI,0.011028,0.010612
