time,symbol,position_change,new_position
2017-01-03 00:00:00,EURUSD,0.041565,-0.207287
2017-01-03 00:00:00,GBPUSD,0.040572,-0.190554
2017-01-03 00:00:00,USDJPY,-0.040147,0.192103
2017-01-03 00:00:00,AUDUSD,0.032299,-0.193321
2017-01-03 00:00:00,USDCHF,-0.060013,0.262038
2017-01-03 00:00:00,USDCAD,-0.033465,0.14652
2017-01-03 00:00:00,NZDUSD,0.018386,-0.098811
2017-01-03 00:00:00,EURJPY,-0.016878,0.090515
2017-01-03 00:00:00,GBPJPY,-0.006457,0.034157
2017-01-03 00:00:00,AUDJPY,-0.020345,0.092588
2017-01-03 00:00:00,EURCHF,0.023205,-0.146875
2017-01-03 00:00:00,NZDJPY,-0.024322,0.117263
2017-01-03 00:00:00,CADJPY,-0.021148,0.107626
2017-01-03 00:00:00,AUDNZD,0.017288,-0.117945
2017-01-03 00:00:00,GBPCHF,0.010549,-0.061913
2017-01-03 00:00:00,GOLD,-0.212526,-0.212526
2017-01-03 00:00:00,SILVER,-0.060193,-0.060193
2017-01-03 00:00:00,COPPER,0.101353,0.101353
2017-01-03 00:00:00,PLAT,-0.060033,-0.060033
2017-01-03 00:00:00,PALL,0.017602,0.017602
2017-01-04 00:00:00,AUDNZD,0.014447,-0.103498
2017-01-04 00:00:00,GOLD,0.010711,-0.201815
2017-01-04 00:00:00,SILVER,0.005613,-0.05458
2017-01-04 00:00:00,COPPER,-0.007379,0.093974
2017-01-04 00:00:00,PLAT,0.007224,-0.052809
2017-01-04 00:00:00,PALL,0.011352,0.028954
2017-01-05 00:00:00,AUDUSD,0.023813,-0.169508
2017-01-05 00:00:00,USDCAD,-0.038451,0.108069
2017-01-05 00:00:00,AUDJPY,0.007178,0.099766
2017-01-05 00:00:00,EURCHF,-0.014107,-0.160983
2017-01-05 00:00:00,CADJPY,0.006509,0.114135
2017-01-05 00:00:00,GOLD,0.014559,-0.187256
2017-01-05 00:00:00,PLAT,0.014459,-0.038349
2017-01-05 00:00:00,PALL,0.009046,0.038001
2017-01-06 00:00:00,EURUSD,0.036385,-0.170903
2017-01-06 00:00:00,GBPUSD,0.020939,-0.169616
2017-01-06 00:00:00,AUDUSD,0.027222,-0.142285
2017-01-06 00:00:00,USDCHF,-0.060404,0.201634
2017-01-06 00:00:00,USDCAD,-0.031585,0.076484
2017-01-06 00:00:00,NZDUSD,0.020467,-0.078344
2017-01-06 00:00:00,EURJPY,-0.005608,0.084907
2017-01-06 00:00:00,AUDJPY,-0.007432,0.092334
2017-01-06 00:00:00,CADJPY,-0.006402,0.107733
2017-01-06 00:00:00,AUDNZD,0.011007,-0.092491
2017-01-06 00:00:00,GBPCHF,-0.007866,-0.069779
2017-01-06 00:00:00,GOLD,0.013113,-0.174143
2017-01-06 00:00:00,SILVER,0.00603,-0.048549
2017-01-06 00:00:00,PLAT,0.008323,-0.030026
2017-01-06 00:00:00,PALL,0.008768,0.046769
2017-01-09 00:00:00,USDJPY,-0.028128,0.163975
2017-01-09 00:00:00,AUDUSD,0.010503,-0.131782
2017-01-09 00:00:00,USDCHF,-0.024671,0.176963
2017-01-09 00:00:00,USDCAD,-0.019109,0.057376
2017-01-09 00:00:00,EURGBP,0.010716,0.029571
2017-01-09 00:00:00,GBPJPY,-0.00577,0.028387
2017-01-09 00:00:00,AUDJPY,-0.005043,0.087291
2017-01-09 00:00:00,EURAUD,-0.007049,-0.019912
2017-01-09 00:00:00,NZDJPY,-0.004936,0.112328
2017-01-09 00:00:00,AUDNZD,0.01198,-0.080511
2017-01-09 00:00:00,GBPAUD,-0.009038,-0.035455
2017-01-09 00:00:00,GOLD,0.016942,-0.157201
2017-01-09 00:00:00,PLAT,0.0079,-0.022126
2017-01-09 00:00:00,PALL,0.007425,0.054193
2017-01-10 00:00:00,EURUSD,0.023515,-0.147388
2017-01-10 00:00:00,USDJPY,-0.014254,0.149721
2017-01-10 00:00:00,AUDUSD,0.018751,-0.113031
2017-01-10 00:00:00,USDCHF,-0.012553,0.16441
2017-01-10 00:00:00,USDCAD,-0.018312,0.039064
2017-01-10 00:00:00,NZDUSD,0.016261,-0.062083
2017-01-10 00:00:00,EURJPY,-0.006277,0.07863
2017-01-10 00:00:00,GBPJPY,-0.009596,0.018791
2017-01-10 00:00:00,CADJPY,-0.008298,0.099435
2017-01-10 00:00:00,GBPCHF,-0.015146,-0.084925
2017-01-10 00:00:00,GOLD,0.013344,-0.143857
2017-01-10 00:00:00,SILVER,0.009882,-0.038668
2017-01-10 00:00:00,PALL,0.007558,0.061751
2017-01-11 00:00:00,AUDUSD,0.008642,-0.104389
2017-01-11 00:00:00,EURGBP,0.015358,0.044928
2017-01-11 00:00:00,EURCHF,0.013531,-0.147451
2017-01-11 00:00:00,EURAUD,-0.009266,-0.029178
2017-01-11 00:00:00,AUDNZD,0.019966,-0.060545
2017-01-11 00:00:00,GBPCHF,-0.007927,-0.092853
2017-01-11 00:00:00,GBPAUD,-0.015213,-0.050668
2017-01-11 00:00:00,GOLD,0.017089,-0.126768
2017-01-11 00:00:00,PLAT,0.008536,-0.013589
2017-01-12 00:00:00,AUDUSD,0.028128,-0.076262
2017-01-12 00:00:00,USDCAD,-0.030332,0.008732
2017-01-12 00:00:00,NZDUSD,0.017052,-0.045031
2017-01-12 00:00:00,EURJPY,-0.00546,0.07317
2017-01-12 00:00:00,GBPJPY,-0.010115,0.008676
2017-01-12 00:00:00,AUDJPY,0.008466,0.095757
2017-01-12 00:00:00,EURAUD,-0.009283,-0.038462
2017-01-12 00:00:00,AUDNZD,0.009477,-0.051069
2017-01-12 00:00:00,GBPCHF,-0.009107,-0.10196
2017-01-12 00:00:00,GBPAUD,-0.010547,-0.061215
2017-01-12 00:00:00,GOLD,0.013068,-0.1137
2017-01-12 00:00:00,COPPER,0.009245,0.103218
2017-01-12 00:00:00,PALL,0.009806,0.071557
2017-01-13 00:00:00,AUDUSD,0.021969,-0.054292
2017-01-13 00:00:00,USDCHF,-0.01346,0.15095
2017-01-13 00:00:00,USDCAD,-0.017618,-0.008886
2017-01-13 00:00:00,NZDUSD,0.014598,-0.030433
2017-01-13 00:00:00,EURGBP,0.017511,0.06244
2017-01-13 00:00:00,GBPJPY,-0.006737,0.001939
2017-01-13 00:00:00,AUDJPY,0.00653,0.102287
2017-01-13 00:00:00,EURAUD,-0.011148,-0.049609
2017-01-13 00:00:00,GBPCHF,-0.011526,-0.113485
2017-01-13 00:00:00,GBPAUD,-0.011662,-0.072877
2017-01-13 00:00:00,COPPER,0.010477,0.113695
2017-01-13 00:00:00,PLAT,0.007784,-0.005806
2017-01-16 00:00:00,EURUSD,-0.017079,-0.164467
2017-01-16 00:00:00,GBPUSD,-0.057095,-0.22671
2017-01-16 00:00:00,USDJPY,0.012444,0.162166
2017-01-16 00:00:00,AUDUSD,0.008125,-0.046167
2017-01-16 00:00:00,USDCHF,0.027133,0.178082
2017-01-16 00:00:00,USDCAD,-0.024704,-0.03359
2017-01-16 00:00:00,NZDUSD,0.008901,-0.021532
2017-01-16 00:00:00,EURGBP,0.025525,0.087965
2017-01-16 00:00:00,EURJPY,0.007403,0.080572
2017-01-16 00:00:00,GBPJPY,-0.011339,-0.0094
2017-01-16 00:00:00,AUDJPY,0.028167,0.130454
2017-01-16 00:00:00,EURCHF,-0.034605,-0.182056
2017-01-16 00:00:00,EURAUD,-0.023781,-0.07339
2017-01-16 00:00:00,NZDJPY,0.029372,0.141699
2017-01-16 00:00:00,CADJPY,0.02272,0.122155
2017-01-16 00:00:00,GBPCHF,-0.040085,-0.153571
2017-01-16 00:00:00,GBPAUD,-0.031637,-0.104514
2017-01-16 00:00:00,GOLD,0.1137,0.0
2017-01-16 00:00:00,SILVER,0.038668,0.0
2017-01-16 00:00:00,COPPER,-0.113695,0.0
2017-01-16 00:00:00,PALL,-0.071557,0.0
2017-01-17 00:00:00,EURUSD,0.030199,-0.134268
2017-01-17 00:00:00,GBPUSD,0.041884,-0.184826
2017-01-17 00:00:00,USDJPY,-0.035881,0.126285
2017-01-17 00:00:00,AUDUSD,0.019126,-0.027041
2017-01-17 00:00:00,USDCHF,-0.035169,0.142913
2017-01-17 00:00:00,NZDUSD,0.011018,-0.010514
2017-01-17 00:00:00,EURJPY,-0.020551,0.060022
2017-01-17 00:00:00,GBPJPY,-0.006243,-0.015643
2017-01-17 00:00:00,AUDJPY,-0.023872,0.106582
2017-01-17 00:00:00,EURCHF,0.028547,-0.153509
2017-01-17 00:00:00,NZDJPY,-0.027779,0.11392
2017-01-17 00:00:00,CADJPY,-0.024073,0.098082
2017-01-17 00:00:00,AUDNZD,0.012466,-0.038602
2017-01-17 00:00:00,GBPCHF,0.025282,-0.128289
2017-01-17 00:00:00,GBPAUD,0.010452,-0.094062
2017-01-17 00:00:00,GOLD,-0.083235,-0.083235
2017-01-17 00:00:00,SILVER,-0.026238,-0.026238
