signal_time,entry_time,direction,confidence,volume,entry_price,sl,tp,sl_pips,tp_pips,exit_time,exit_price,exit_reason,pnl_pips,pnl_dollars
2024-07-08 00:15:00,2024-07-08 00:30:00,buy,0.4777712938296279,0.01,1.08188,1.07888,1.08788,30.0,60.0,2024-07-11 15:30:00,1.08788,tp,58.2,5.82
2024-08-05 10:15:00,2024-08-05 10:30:00,sell,0.4484070858333838,0.01,1.09574,1.0987399999999998,1.08974,30.0,60.0,2024-08-05 15:45:00,1.0987399999999998,sl,-31.8,-3.18
2024-08-05 16:00:00,2024-08-05 16:15:00,sell,0.4022665653622469,0.01,1.09958,1.10258,1.09358,30.0,60.0,2024-08-06 09:45:00,1.09358,tp,58.2,5.82
2024-08-06 10:45:00,2024-08-06 11:00:00,buy,0.41540811854528953,0.01,1.09284,1.0898400000000001,1.09884,30.0,60.0,2024-08-08 15:45:00,1.0898400000000001,sl,-31.8,-3.18
2024-08-08 16:00:00,2024-08-08 16:15:00,buy,0.46913599912078985,0.01,1.08986,1.0868600000000002,1.09586,30.0,60.0,2024-08-13 16:30:00,1.09586,tp,58.2,5.82
2024-08-13 20:30:00,2024-08-13 20:45:00,sell,0.4043633556310331,0.01,1.09755,1.10055,1.09155,30.0,60.0,2024-08-14 10:30:00,1.10055,sl,-31.8,-3.18
2024-08-14 10:30:00,2024-08-14 10:45:00,sell,0.5012292213299947,0.01,1.10046,1.1034599999999999,1.09446,30.0,60.0,2024-08-14 15:30:00,1.1034599999999999,sl,-31.8,-3.18
2024-08-14 16:15:00,2024-08-14 16:30:00,sell,0.4343653121284726,0.01,1.104,1.107,1.098,30.0,60.0,2024-08-15 15:30:00,1.098,tp,58.2,5.82
2024-08-15 15:45:00,2024-08-15 16:00:00,sell,0.45129870732007166,0.01,1.09514,1.09814,1.08914,30.0,60.0,2024-08-15 17:45:00,1.09814,sl,-31.8,-3.18
2024-08-15 17:45:00,2024-08-15 18:00:00,buy,0.4391137375074699,0.01,1.09893,1.09593,1.10493,30.0,60.0,2024-08-19 09:00:00,1.10493,tp,58.2,5.82
2024-08-19 15:00:00,2024-08-19 15:15:00,sell,0.4359523935967868,0.01,1.10367,1.1066699999999998,1.09767,30.0,60.0,2024-08-19 17:30:00,1.1066699999999998,sl,-31.8,-3.18
2024-08-19 17:30:00,2024-08-19 17:45:00,sell,0.4722402448887032,0.01,1.10644,1.10944,1.10044,30.0,60.0,2024-08-20 15:45:00,1.10944,sl,-31.8,-3.18
2024-08-20 15:45:00,2024-08-20 16:00:00,sell,0.4298413933687934,0.01,1.1099,1.1129,1.1039,30.0,60.0,2024-08-20 23:15:00,1.1129,sl,-31.8,-3.18
2024-08-21 10:15:00,2024-08-21 10:30:00,sell,0.4117437256582569,0.01,1.11148,1.11448,1.10548,30.0,60.0,2024-08-21 18:45:00,1.11448,sl,-31.8,-3.18
2024-08-21 18:45:00,2024-08-21 19:00:00,sell,0.4631977571453607,0.01,1.11443,1.11743,1.10843,30.0,60.0,2024-08-23 17:30:00,1.11743,sl,-31.8,-3.18
2024-08-23 17:30:00,2024-08-23 17:45:00,sell,0.5281693397709983,0.01,1.1173600000000001,1.12036,1.1113600000000001,30.0,60.0,2024-08-28 15:15:00,1.1113600000000001,tp,58.2,5.82
2024-08-28 15:15:00,2024-08-28 15:30:00,buy,0.4986394792547165,0.01,1.11085,1.10785,1.11685,30.0,60.0,2024-08-29 11:15:00,1.10785,sl,-31.8,-3.18
2024-08-29 11:15:00,2024-08-29 11:30:00,sell,0.4315102769981432,0.01,1.10789,1.11089,1.10189,30.0,60.0,2024-09-05 15:15:00,1.11089,sl,-31.8,-3.18
2024-09-05 17:45:00,2024-09-05 18:00:00,buy,0.516131647465109,0.01,1.10864,1.1056400000000002,1.11464,30.0,60.0,2024-09-06 15:30:00,1.11464,tp,58.2,5.82
2024-09-06 16:15:00,2024-09-06 16:30:00,buy,0.4698258715967983,0.01,1.10754,1.10454,1.11354,30.0,60.0,2024-09-09 13:15:00,1.10454,sl,-31.8,-3.18
2024-09-11 15:45:00,2024-09-11 16:00:00,buy,0.5079305262098374,0.01,1.10252,1.09952,1.10852,30.0,60.0,2024-09-13 03:30:00,1.10852,tp,58.2,5.82
2024-09-18 17:45:00,2024-09-18 18:00:00,buy,0.4414253110046474,0.01,1.11188,1.10888,1.11788,30.0,60.0,2024-09-18 21:15:00,1.11788,tp,58.2,5.82
2024-09-18 22:00:00,2024-09-18 22:15:00,sell,0.42722164401905954,0.01,1.1130900000000001,1.11609,1.1070900000000001,30.0,60.0,2024-09-19 04:30:00,1.1070900000000001,tp,58.2,5.82
2024-09-19 04:30:00,2024-09-19 04:45:00,buy,0.5822369695296503,0.01,1.10848,1.10548,1.11448,30.0,60.0,2024-09-19 09:45:00,1.11448,tp,58.2,5.82
2024-09-19 11:45:00,2024-09-19 12:00:00,sell,0.41232385169798025,0.01,1.11723,1.1202299999999998,1.11123,30.0,60.0,2024-09-23 10:30:00,1.11123,tp,58.2,5.82
2024-09-23 10:30:00,2024-09-23 10:45:00,buy,0.5902094306066723,0.01,1.11028,1.10728,1.11628,30.0,60.0,2024-09-24 17:15:00,1.11628,tp,58.2,5.82
2024-09-24 17:30:00,2024-09-24 17:45:00,sell,0.4019845016604121,0.01,1.11496,1.1179599999999998,1.10896,30.0,60.0,2024-09-24 23:45:00,1.1179599999999998,sl,-31.8,-3.18
2024-09-25 15:00:00,2024-09-25 15:15:00,sell,0.44894698710547204,0.01,1.11945,1.12245,1.11345,30.0,60.0,2024-09-25 19:45:00,1.11345,tp,58.2,5.82
2024-09-25 19:45:00,2024-09-25 20:00:00,buy,0.5633253107928783,0.01,1.11294,1.1099400000000001,1.11894,30.0,60.0,2024-09-26 18:45:00,1.11894,tp,58.2,5.82
2024-09-26 18:45:00,2024-09-26 19:00:00,sell,0.42708404215532597,0.01,1.117,1.1199999999999999,1.111,30.0,60.0,2024-09-27 15:45:00,1.1199999999999999,sl,-31.8,-3.18
2024-09-27 19:00:00,2024-09-27 19:15:00,buy,0.4121390677924312,0.01,1.11563,1.11263,1.12163,30.0,60.0,2024-09-30 21:00:00,1.11263,sl,-31.8,-3.18
2024-09-30 21:30:00,2024-09-30 21:45:00,buy,0.45505278048429093,0.01,1.11336,1.11036,1.11936,30.0,60.0,2024-10-01 11:00:00,1.11036,sl,-31.8,-3.18
2024-10-01 11:15:00,2024-10-01 11:30:00,buy,0.5544291569173397,0.01,1.11103,1.10803,1.11703,30.0,60.0,2024-10-01 14:45:00,1.10803,sl,-31.8,-3.18
2024-10-01 16:45:00,2024-10-01 17:00:00,buy,0.5441884397554309,0.01,1.1084,1.1054000000000002,1.1144,30.0,60.0,2024-10-01 19:30:00,1.1054000000000002,sl,-31.8,-3.18
