fold,component,train_start,train_end,fit_start,fit_end,n_train_rows,n_test_rows
0,feature_scaler,2024-01-08 22:15:00,2024-07-06 22:15:00,2024-01-08 22:15:00,2024-07-06 22:15:00,12337,2005
0,classifier,2024-01-08 22:15:00,2024-07-06 22:15:00,2024-01-08 22:15:00,2024-07-06 22:15:00,12337,2005
1,feature_scaler,2024-01-08 22:15:00,2024-08-05 22:15:00,2024-01-08 22:15:00,2024-08-05 22:15:00,14346,2108
1,classifier,2024-01-08 22:15:00,2024-08-05 22:15:00,2024-01-08 22:15:00,2024-08-05 22:15:00,14346,2108
2,feature_scaler,2024-01-08 22:15:00,2024-09-04 22:15:00,2024-01-08 22:15:00,2024-09-04 22:15:00,16458,2108
2,classifier,2024-01-08 22:15:00,2024-09-04 22:15:00,2024-01-08 22:15:00,2024-09-04 22:15:00,16458,2108
3,feature_scaler,2024-01-08 22:15:00,2024-10-04 22:15:00,2024-01-08 22:15:00,2024-10-04 22:15:00,18570,1923
3,classifier,2024-01-08 22:15:00,2024-10-04 22:15:00,2024-01-08 22:15:00,2024-10-04 22:15:00,18570,1923
4,feature_scaler,2024-01-08 22:15:00,2024-11-03 22:15:00,2024-01-08 22:15:00,2024-11-03 22:15:00,20497,2101
4,classifier,2024-01-08 22:15:00,2024-11-03 22:15:00,2024-01-08 22:15:00,2024-11-03 22:15:00,20497,2101
