open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-29 20:00:00,2016-01-04 04:00:00,sell,0.03,1.09,1.09,15.71,0.9,low,trail_stop
2016-01-04 08:00:00,2016-01-06 00:00:00,sell,0.02,1.09,1.08,27.76,2.29,low,trail_stop
2016-01-06 04:00:00,2016-01-07 00:00:00,sell,0.02,1.07,1.08,-14.85,-1.02,low,stop_loss
2016-01-07 04:00:00,2016-01-07 12:00:00,sell,0.02,1.08,1.08,-6.37,-0.41,low,trail_stop
2016-01-07 16:00:00,2016-01-07 16:00:00,sell,0.02,1.08,1.09,-17.86,-1.01,low,stop_loss
2016-01-07 20:00:00,2016-01-08 16:00:00,sell,0.02,1.09,1.09,5.61,0.29,low,trail_stop
2016-01-08 20:00:00,2016-01-14 08:00:00,sell,0.02,1.09,1.09,-0.95,-0.05,low,trail_stop
2016-01-14 12:00:00,2016-01-15 12:00:00,sell,0.02,1.09,1.09,1.49,0.09,low,trail_stop
2016-01-15 16:00:00,2016-01-20 00:00:00,sell,0.02,1.09,1.1,-0.73,-0.04,low,trail_stop
2016-01-20 04:00:00,2016-01-21 16:00:00,sell,0.02,1.09,1.09,18.47,1.25,low,trail_stop
2016-01-21 20:00:00,2016-01-27 12:00:00,sell,0.02,1.09,1.09,-1.74,-0.09,low,trail_stop
2016-01-27 16:00:00,2016-01-28 12:00:00,sell,0.05,1.09,1.09,-31.88,-1.02,med,stop_loss
2016-01-28 16:00:00,2016-02-01 12:00:00,sell,0.02,1.09,1.09,11.66,0.85,low,trail_stop
2016-02-01 16:00:00,2016-02-03 12:00:00,sell,0.02,1.09,1.1,-14.7,-1.02,low,stop_loss
2016-02-10 08:00:00,2016-02-10 12:00:00,buy,0.02,1.13,1.12,-18.18,-1.01,low,stop_loss
2016-02-10 16:00:00,2016-02-12 08:00:00,buy,0.01,1.12,1.13,7.46,0.73,low,trail_stop
2016-02-12 12:00:00,2016-02-15 12:00:00,buy,0.02,1.13,1.12,-19.78,-1.01,low,stop_loss
2016-02-15 16:00:00,2016-02-18 08:00:00,buy,0.03,1.11,1.11,-12.07,-0.46,med,trail_stop
2016-02-18 12:00:00,2016-02-22 08:00:00,buy,0.04,1.11,1.11,-13.74,-0.46,med,trail_stop
2016-02-22 12:00:00,2016-02-24 08:00:00,buy,0.04,1.1,1.1,-28.46,-1.02,med,stop_loss
2016-02-24 12:00:00,2016-02-26 12:00:00,buy,0.02,1.1,1.1,7.48,0.54,low,trail_stop
2016-03-18 04:00:00,2016-03-21 08:00:00,buy,0.02,1.13,1.12,-17.09,-1.01,low,stop_loss
2016-03-21 12:00:00,2016-03-22 08:00:00,buy,0.02,1.13,1.12,-14.91,-1.02,low,stop_loss
2016-03-22 12:00:00,2016-03-24 04:00:00,buy,0.04,1.12,1.12,-28.36,-1.02,med,stop_loss
2016-03-24 08:00:00,2016-04-01 12:00:00,buy,0.05,1.12,1.14,104.07,3.65,med,trail_stop
2016-04-01 16:00:00,2016-04-07 08:00:00,buy,0.06,1.14,1.14,-1.55,-0.04,high,trail_stop
2016-04-07 12:00:00,2016-04-12 12:00:00,buy,0.06,1.14,1.14,13.55,0.31,high,trail_stop
2016-04-12 16:00:00,2016-04-13 08:00:00,buy,0.06,1.14,1.13,-44.94,-1.02,high,stop_loss
2016-04-13 12:00:00,2016-04-20 16:00:00,buy,0.06,1.13,1.13,6.76,0.16,high,trail_stop
2016-04-20 20:00:00,2016-04-21 12:00:00,buy,0.07,1.13,1.13,-14.32,-0.34,high,trail_stop
2016-04-21 16:00:00,2016-04-22 16:00:00,buy,0.06,1.13,1.12,-44.46,-1.02,high,stop_loss
2016-04-22 20:00:00,2016-04-27 16:00:00,buy,0.07,1.12,1.13,34.92,0.76,high,trail_stop
2016-04-27 20:00:00,2016-05-03 12:00:00,buy,0.06,1.13,1.15,139.68,3.4,high,trail_stop
2016-05-03 16:00:00,2016-05-05 08:00:00,buy,0.06,1.15,1.14,-45.58,-1.02,high,stop_loss
2016-05-05 12:00:00,2016-05-06 16:00:00,buy,0.07,1.14,1.14,-15.13,-0.32,high,trail_stop
2016-05-06 20:00:00,2016-05-12 08:00:00,buy,0.07,1.14,1.14,-19.84,-0.42,high,trail_stop
2016-05-12 12:00:00,2016-05-13 04:00:00,buy,0.09,1.14,1.14,-17.7,-0.38,high,trail_stop
2016-05-13 08:00:00,2016-05-13 12:00:00,buy,0.09,1.13,1.13,-47.17,-1.02,high,stop_loss
2016-05-13 16:00:00,2016-05-18 00:00:00,buy,0.08,1.13,1.13,-3.56,-0.08,high,trail_stop
2016-05-18 04:00:00,2016-05-18 16:00:00,buy,0.09,1.13,1.12,-45.46,-1.02,high,stop_loss
2016-05-18 20:00:00,2016-05-24 12:00:00,buy,0.07,1.12,1.12,-42.12,-1.02,high,stop_loss
2016-05-24 16:00:00,2016-05-27 08:00:00,buy,0.06,1.11,1.12,11.65,0.38,med,trail_stop
2016-05-27 12:00:00,2016-05-27 16:00:00,buy,0.03,1.12,1.11,-14.58,-1.02,low,stop_loss
2016-05-27 20:00:00,2016-06-01 00:00:00,buy,0.03,1.11,1.11,1.63,0.1,low,trail_stop
2016-06-08 00:00:00,2016-06-09 08:00:00,buy,0.02,1.14,1.14,-0.38,-0.03,low,trail_stop
2016-06-09 12:00:00,2016-06-10 08:00:00,buy,0.02,1.13,1.13,-11.51,-1.02,low,stop_loss
2016-06-10 12:00:00,2016-06-10 16:00:00,buy,0.02,1.13,1.12,-11.54,-1.02,low,stop_loss
2016-06-10 20:00:00,2016-06-14 08:00:00,buy,0.02,1.13,1.12,-2.46,-0.21,low,trail_stop
2016-06-14 12:00:00,2016-06-16 08:00:00,buy,0.02,1.12,1.12,2.29,0.19,low,trail_stop
2016-06-16 12:00:00,2016-06-20 12:00:00,buy,0.02,1.12,1.13,26.52,1.87,low,trail_stop
2016-06-20 16:00:00,2016-06-22 00:00:00,buy,0.02,1.13,1.12,-16.62,-1.01,low,stop_loss
2016-06-22 04:00:00,2016-06-23 12:00:00,buy,0.02,1.13,1.13,15.97,1.12,low,trail_stop
2016-06-23 16:00:00,2016-06-23 20:00:00,buy,0.02,1.14,1.13,-17.83,-1.02,low,stop_loss
