ts,event,signal_time,hour,dir,lots,price,ticket,profit_acct,comment
2026-07-08T17:31:29+00:00,open,2026-07-08 20:15:00,20,-1,0.01,4075.37,112253491,,fade entry
2026-07-08T17:46:29+00:00,close,,,-1,0.01,,112253491,797.55,1-bar exit
2026-07-08T17:46:29+00:00,open,2026-07-08 20:30:00,20,1,0.01,4069.2,112263661,,fade entry
2026-07-08T18:01:29+00:00,close,,,1,0.01,,112263661,130.56,1-bar exit
2026-07-08T19:31:29+00:00,open,2026-07-08 22:15:00,22,-1,0.01,4090.78,112329948,,fade entry
2026-07-08T19:46:29+00:00,close,,,-1,0.01,,112329948,1044.32,1-bar exit
2026-07-08T19:46:29+00:00,open,2026-07-08 22:30:00,22,1,0.01,4082.62,112340204,,fade entry
2026-07-08T20:01:29+00:00,close,,,1,0.01,,112340204,-687.6,1-bar exit
2026-07-08T22:31:29+00:00,open,2026-07-09 01:15:00,1,1,0.01,4075.42,112379952,,fade entry
2026-07-08T22:46:29+00:00,close,,,1,0.01,,112379952,392.98,1-bar exit
2026-07-08T23:01:29+00:00,open,2026-07-09 01:45:00,1,1,0.01,4075.0,112385591,,fade entry
2026-07-08T23:16:29+00:00,close,,,1,0.01,,112385591,255.96,1-bar exit
2026-07-08T23:16:29+00:00,open,2026-07-09 02:00:00,2,-1,0.01,4076.94,112387945,,fade entry
2026-07-08T23:31:29+00:00,close,,,-1,0.01,,112387945,195.2,1-bar exit
2026-07-08T23:31:29+00:00,open,2026-07-09 02:15:00,2,-1,0.01,4075.03,112390396,,fade entry
2026-07-08T23:46:29+00:00,close,,,-1,0.01,,112390396,89.2,1-bar exit
2026-07-09T00:16:29+00:00,open,2026-07-09 03:00:00,3,-1,0.01,4086.5,112399262,,fade entry
2026-07-09T00:31:29+00:00,close,,,-1,0.01,,112399262,886.8,1-bar exit
2026-07-09T01:31:29+00:00,open,2026-07-09 04:15:00,4,1,0.01,4063.26,112407253,,fade entry
2026-07-09T01:46:29+00:00,close,,,1,0.01,,112407253,1465.85,1-bar exit
2026-07-09T01:46:29+00:00,open,2026-07-09 04:30:00,4,-1,0.01,4074.68,112408665,,fade entry
2026-07-09T02:01:29+00:00,close,,,-1,0.01,,112408665,-60.75,1-bar exit
2026-07-09T02:16:29+00:00,open,2026-07-09 05:00:00,5,-1,0.01,4078.13,112411636,,fade entry
2026-07-09T02:31:29+00:00,close,,,-1,0.01,,112411636,-74.97,1-bar exit
2026-07-09T02:46:29+00:00,open,2026-07-09 05:30:00,5,1,0.01,4070.65,112414825,,fade entry
2026-07-09T03:01:29+00:00,close,,,1,0.01,,112414825,-660.53,1-bar exit
2026-07-09T03:01:29+00:00,open,2026-07-09 05:45:00,5,1,0.01,4066.01,112416339,,fade entry
