open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-01-16 06:00:00,2015-01-21 14:00:00,buy,0.01,1257.26,1292.0,34.74,2.67,low,trail_stop
2015-01-21 15:00:00,2015-01-22 12:00:00,buy,0.01,1294.06,1279.39,-14.67,-1.02,low,stop_loss
2015-01-22 16:00:00,2015-01-23 15:00:00,buy,0.01,1299.62,1291.09,-8.53,-0.53,low,trail_stop
2015-01-26 03:00:00,2015-01-26 08:00:00,buy,0.01,1296.12,1284.1,-12.02,-1.02,low,stop_loss
2015-01-27 10:00:00,2015-01-28 07:00:00,buy,0.01,1282.86,1286.46,3.6,0.33,low,trail_stop
2015-01-30 10:00:00,2015-02-02 09:00:00,buy,0.01,1265.11,1273.69,8.58,0.8,low,trail_stop
2015-02-02 20:00:00,2015-02-03 12:00:00,buy,0.01,1280.4,1273.23,-7.17,-0.59,low,trail_stop
2015-02-04 11:00:00,2015-02-05 10:00:00,buy,0.01,1268.96,1261.16,-7.8,-0.62,low,trail_stop
2015-02-06 06:00:00,2015-02-06 13:00:00,buy,0.02,1268.7,1259.03,-19.33,-1.02,low,stop_loss
2015-02-09 18:00:00,2015-02-10 11:00:00,buy,0.02,1240.14,1235.69,-8.9,-0.45,low,trail_stop
2015-02-11 06:00:00,2015-02-11 14:00:00,buy,0.02,1238.68,1230.52,-16.33,-1.03,low,stop_loss
2015-02-13 02:00:00,2015-02-17 03:00:00,buy,0.02,1225.28,1227.74,4.91,0.29,low,trail_stop
2015-02-18 21:00:00,2015-02-19 14:00:00,buy,0.01,1211.45,1210.28,-1.17,-0.09,low,trail_stop
2015-02-23 16:00:00,2015-02-24 15:00:00,buy,0.01,1204.66,1191.99,-12.67,-1.02,low,stop_loss
2015-02-24 21:00:00,2015-02-26 14:00:00,buy,0.01,1200.43,1208.07,7.64,0.66,low,trail_stop
2015-02-26 15:00:00,2015-03-02 12:00:00,buy,0.01,1208.69,1213.13,4.44,0.45,low,trail_stop
2015-03-02 13:00:00,2015-03-02 15:00:00,buy,0.02,1216.62,1210.43,-12.38,-0.68,low,trail_stop
2015-03-03 09:00:00,2015-03-03 15:00:00,buy,0.01,1209.59,1203.56,-6.03,-0.55,low,trail_stop
2015-03-04 06:00:00,2015-03-04 15:00:00,buy,0.02,1208.41,1199.34,-18.14,-1.02,low,stop_loss
2015-03-05 04:00:00,2015-03-05 17:00:00,buy,0.02,1204.38,1201.55,-5.66,-0.37,low,trail_stop
2015-03-09 11:00:00,2015-03-09 19:00:00,buy,0.02,1175.16,1166.48,-17.37,-1.03,low,stop_loss
2015-03-10 14:00:00,2015-03-11 10:00:00,buy,0.01,1167.67,1157.16,-10.51,-1.02,low,stop_loss
2015-03-12 07:00:00,2015-03-12 13:00:00,buy,0.03,1164.67,1154.92,-29.24,-1.02,med,stop_loss
2015-03-13 03:00:00,2015-03-16 12:00:00,buy,0.03,1160.46,1154.6,-17.6,-0.64,med,trail_stop
2015-03-18 17:00:00,2015-03-18 19:00:00,buy,0.03,1154.75,1164.6,29.54,1.16,med,trail_stop
2015-03-18 20:00:00,2015-03-19 08:00:00,buy,0.03,1170.99,1163.42,-22.71,-0.54,high,trail_stop
2015-03-19 09:00:00,2015-03-26 10:00:00,buy,0.02,1165.92,1206.49,81.13,3.13,med,trail_stop
2015-03-26 11:00:00,2015-03-26 18:00:00,buy,0.04,1207.32,1201.85,-21.86,-0.52,high,trail_stop
2015-03-26 19:00:00,2015-03-30 02:00:00,buy,0.01,1203.36,1192.34,-11.02,-1.02,low,stop_loss
2015-03-31 13:00:00,2015-04-02 14:00:00,buy,0.02,1188.97,1199.38,20.82,1.16,low,trail_stop
2015-04-02 15:00:00,2015-04-06 19:00:00,buy,0.02,1196.93,1214.45,35.04,1.84,low,trail_stop
2015-04-06 20:00:00,2015-04-08 11:00:00,buy,0.01,1215.99,1205.92,-10.07,-1.02,low,stop_loss
2015-04-10 10:00:00,2015-04-13 07:00:00,buy,0.04,1203.04,1202.3,-2.95,-0.09,med,trail_stop
2015-04-15 07:00:00,2015-04-16 04:00:00,buy,0.02,1194.65,1199.98,10.66,0.72,low,trail_stop
2015-04-16 05:00:00,2015-04-16 14:00:00,buy,0.06,1202.68,1201.02,-10.01,-0.21,high,trail_stop
2015-04-17 08:00:00,2015-04-20 10:00:00,buy,0.02,1203.74,1201.13,-5.21,-0.34,low,trail_stop
2015-04-21 11:00:00,2015-04-21 13:00:00,buy,0.02,1199.02,1195.76,-6.51,-0.52,low,trail_stop
2015-04-21 17:00:00,2015-04-22 14:00:00,buy,0.03,1202.47,1193.8,-26.01,-1.03,med,stop_loss
2015-04-23 16:00:00,2015-04-24 11:00:00,buy,0.03,1192.0,1189.14,-8.56,-0.33,med,trail_stop
2015-04-27 05:00:00,2015-04-27 23:00:00,buy,0.02,1182.95,1200.25,34.59,2.56,low,trail_stop
2015-04-28 00:00:00,2015-04-29 09:00:00,buy,0.05,1200.04,1206.36,31.6,0.75,high,trail_stop
2015-04-29 10:00:00,2015-04-29 13:00:00,buy,0.02,1205.55,1207.48,3.86,0.3,low,trail_stop
2015-04-29 14:00:00,2015-04-29 18:00:00,buy,0.02,1209.76,1204.39,-10.74,-0.67,low,trail_stop
2015-04-29 19:00:00,2015-04-30 12:00:00,buy,0.02,1206.15,1196.34,-19.61,-1.02,low,stop_loss
2015-05-04 01:00:00,2015-05-06 08:00:00,buy,0.02,1178.98,1190.47,22.98,1.26,low,trail_stop
2015-05-08 07:00:00,2015-05-08 12:00:00,buy,0.02,1185.99,1182.0,-7.98,-0.6,low,trail_stop
2015-05-08 13:00:00,2015-05-11 07:00:00,buy,0.05,1189.81,1183.79,-30.13,-0.68,high,trail_stop
2015-05-11 13:00:00,2015-05-11 15:00:00,buy,0.02,1189.14,1184.51,-9.27,-0.68,low,trail_stop
2015-05-12 09:00:00,2015-05-12 13:00:00,buy,0.03,1184.94,1191.11,18.51,1.08,low,trail_stop
2015-05-12 14:00:00,2015-05-15 05:00:00,buy,0.05,1191.59,1218.11,132.57,2.96,high,trail_stop
2015-05-15 06:00:00,2015-05-15 10:00:00,buy,0.05,1218.37,1214.99,-16.93,-0.53,med,trail_stop
2015-05-15 11:00:00,2015-05-18 12:00:00,buy,0.02,1214.88,1224.45,19.15,1.25,low,trail_stop
2015-05-18 13:00:00,2015-05-19 07:00:00,buy,0.06,1227.56,1219.37,-49.16,-1.03,high,stop_loss
2015-05-20 13:00:00,2015-05-21 12:00:00,buy,0.02,1210.31,1205.72,-9.18,-0.62,low,trail_stop
2015-05-22 01:00:00,2015-05-22 12:00:00,buy,0.03,1207.52,1208.65,3.4,0.19,low,trail_stop
2015-05-25 15:00:00,2015-05-26 06:00:00,buy,0.03,1205.97,1203.14,-8.48,-0.54,low,trail_stop
2015-05-27 22:00:00,2015-05-28 09:00:00,buy,0.03,1187.82,1186.55,-3.79,-0.24,low,trail_stop
2015-05-28 10:00:00,2015-05-28 13:00:00,buy,0.03,1187.95,1181.83,-18.36,-1.04,low,stop_loss
2015-05-28 17:00:00,2015-06-01 06:00:00,buy,0.02,1188.66,1188.25,-0.83,-0.05,low,trail_stop
2015-06-01 15:00:00,2015-06-01 17:00:00,buy,0.01,1200.61,1189.83,-10.78,-1.02,low,stop_loss
2015-06-02 15:00:00,2015-06-03 16:00:00,buy,0.03,1193.86,1184.0,-29.58,-1.02,med,stop_loss
2015-06-05 06:00:00,2015-06-05 12:00:00,buy,0.03,1178.27,1172.51,-17.29,-1.04,low,stop_loss
2015-06-08 01:00:00,2015-06-11 07:00:00,buy,0.02,1175.61,1184.05,16.88,1.06,low,trail_stop
2015-06-11 08:00:00,2015-06-11 12:00:00,buy,0.03,1183.77,1178.28,-16.48,-1.04,low,stop_loss
2015-06-12 02:00:00,2015-06-12 12:00:00,buy,0.02,1183.66,1177.59,-12.14,-1.04,low,stop_loss
2015-06-12 15:00:00,2015-06-15 07:00:00,buy,0.02,1182.52,1178.91,-7.21,-0.5,low,trail_stop
2015-06-15 15:00:00,2015-06-16 13:00:00,buy,0.01,1182.15,1180.6,-1.55,-0.16,low,trail_stop
2015-06-17 20:00:00,2015-06-21 22:00:00,buy,0.03,1187.31,1196.64,27.99,1.06,med,trail_stop
2015-06-21 23:00:00,2015-06-22 12:00:00,buy,0.02,1198.62,1191.72,-13.8,-1.03,low,stop_loss
2015-06-25 03:00:00,2015-06-25 10:00:00,buy,0.03,1177.18,1171.64,-16.62,-1.04,low,stop_loss
2015-06-26 03:00:00,2015-06-26 07:00:00,buy,0.04,1175.1,1170.89,-16.83,-1.06,low,stop_loss
2015-06-26 09:00:00,2015-06-26 12:00:00,buy,0.05,1178.21,1172.3,-29.54,-1.04,med,stop_loss
2015-06-28 23:00:00,2015-06-29 09:00:00,buy,0.03,1185.33,1176.68,-25.95,-1.03,med,stop_loss
2015-07-02 22:00:00,2015-07-06 05:00:00,buy,0.02,1165.97,1166.79,1.64,0.1,low,trail_stop
