open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-01-12 17:30:00,2015-01-13 14:30:00,buy,0.03,1228.49,1235.65,21.47,0.86,high,trail_stop
2015-01-13 15:00:00,2015-01-13 19:00:00,buy,0.02,1235.71,1231.3,-8.82,-0.47,high,trail_stop
2015-01-15 16:00:00,2015-01-21 15:00:00,buy,0.01,1259.2,1288.98,29.79,1.85,high,trail_stop
2015-02-03 11:00:00,2015-02-03 12:30:00,buy,0.03,1281.38,1273.93,-22.35,-1.02,high,stop_loss
2015-02-16 02:30:00,2015-02-16 14:00:00,buy,0.04,1231.93,1231.07,-3.44,-0.16,high,trail_stop
2015-02-16 14:30:00,2015-02-17 02:30:00,buy,0.04,1231.38,1229.01,-9.47,-0.47,high,trail_stop
2015-02-19 10:30:00,2015-02-19 13:00:00,buy,0.04,1218.44,1216.43,-8.03,-0.32,high,trail_stop
2015-02-19 13:30:00,2015-02-19 14:00:00,buy,0.03,1216.8,1211.4,-16.2,-0.68,high,trail_stop
2015-02-19 14:30:00,2015-02-20 09:00:00,buy,0.02,1211.72,1202.61,-18.22,-1.01,high,stop_loss
2015-02-25 03:00:00,2015-02-25 17:30:00,buy,0.03,1209.72,1202.81,-20.74,-1.02,high,stop_loss
2015-02-26 06:00:00,2015-02-26 13:00:00,buy,0.05,1210.28,1215.53,26.24,1.22,high,trail_stop
2015-02-26 13:30:00,2015-02-26 14:00:00,buy,0.03,1217.36,1213.02,-13.03,-0.64,high,trail_stop
2015-02-26 14:30:00,2015-02-27 08:00:00,buy,0.03,1213.69,1206.02,-23.0,-1.02,high,stop_loss
2015-03-02 02:00:00,2015-03-02 09:00:00,buy,0.03,1220.4,1216.3,-12.29,-0.61,high,trail_stop
2015-03-02 09:30:00,2015-03-02 14:00:00,buy,0.04,1215.7,1213.48,-8.88,-0.36,high,trail_stop
2015-03-16 07:00:00,2015-03-16 09:00:00,buy,0.04,1163.01,1157.69,-21.29,-1.02,high,stop_loss
2015-03-18 20:30:00,2015-03-19 08:00:00,buy,0.02,1173.36,1164.78,-17.17,-0.67,high,trail_stop
2015-03-19 08:30:00,2015-03-26 08:30:00,buy,0.02,1163.64,1210.3,93.31,5.04,high,trail_stop
2015-03-26 09:00:00,2015-03-26 12:30:00,buy,0.03,1213.42,1205.29,-24.37,-1.01,high,stop_loss
2015-03-26 13:00:00,2015-03-27 13:30:00,buy,0.02,1204.93,1194.8,-20.25,-1.01,high,stop_loss
2015-04-01 15:30:00,2015-04-02 14:00:00,buy,0.02,1202.41,1199.54,-5.74,-0.32,high,trail_stop
2015-04-02 14:30:00,2015-04-06 19:00:00,buy,0.03,1199.26,1216.59,51.99,2.32,high,trail_stop
2015-04-06 19:30:00,2015-04-08 11:30:00,buy,0.03,1214.54,1207.11,-22.28,-1.02,high,stop_loss
2015-04-10 18:30:00,2015-04-13 07:30:00,buy,0.03,1207.17,1202.55,-13.85,-0.68,high,trail_stop
