open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-01-09 06:00:00,2015-01-09 13:30:00,buy,0.03,1212.44,1208.85,-10.77,-0.7,low,trail_stop
2015-01-09 14:00:00,2015-01-12 08:00:00,buy,0.02,1214.48,1223.09,17.21,1.11,low,trail_stop
2015-01-12 08:30:00,2015-01-13 14:30:00,buy,0.05,1221.61,1234.93,66.57,1.49,high,trail_stop
2015-01-13 15:00:00,2015-01-13 19:00:00,buy,0.02,1235.81,1231.2,-9.22,-0.5,low,trail_stop
2015-01-14 14:30:00,2015-01-14 19:00:00,buy,0.01,1240.08,1229.32,-10.76,-1.02,low,stop_loss
2015-01-14 19:30:00,2015-01-15 12:30:00,buy,0.01,1231.71,1249.16,17.44,1.54,low,trail_stop
2015-01-15 13:00:00,2015-01-21 15:00:00,buy,0.03,1255.19,1289.24,102.16,2.16,high,trail_stop
2015-01-22 16:00:00,2015-01-23 07:30:00,buy,0.01,1299.62,1292.62,-6.99,-0.48,low,trail_stop
2015-01-26 02:00:00,2015-01-26 07:30:00,buy,0.02,1296.43,1287.02,-18.83,-1.02,low,stop_loss
2015-01-27 13:00:00,2015-01-27 17:00:00,buy,0.02,1283.4,1289.97,13.14,0.9,low,trail_stop
2015-01-27 17:30:00,2015-01-28 07:30:00,buy,0.05,1290.05,1285.77,-21.38,-0.42,high,trail_stop
2015-01-30 09:30:00,2015-02-02 08:00:00,buy,0.02,1264.96,1277.18,24.44,1.67,low,trail_stop
2015-02-02 08:30:00,2015-02-02 12:30:00,buy,0.02,1276.28,1271.95,-8.65,-0.64,low,trail_stop
2015-02-02 19:30:00,2015-02-03 12:30:00,buy,0.02,1279.67,1276.06,-7.22,-0.38,low,trail_stop
2015-02-04 10:30:00,2015-02-04 15:30:00,buy,0.02,1271.52,1262.62,-17.8,-1.03,low,stop_loss
2015-02-04 23:30:00,2015-02-05 10:30:00,buy,0.02,1272.3,1262.58,-19.43,-1.02,low,stop_loss
2015-02-06 04:00:00,2015-02-06 12:30:00,buy,0.03,1266.57,1262.55,-12.06,-0.68,low,trail_stop
2015-02-09 19:00:00,2015-02-10 09:30:00,buy,0.03,1242.09,1239.5,-7.76,-0.43,low,trail_stop
