name,tf,sharpe_net,sharpe_gross,dd_net_pct,ann_turnover,trades_per_day,cagr_net_pct,corr_champ,combo50_sharpe,combo33_sharpe,champ_alone_sharpe
fastchamp_fast_lo,M15,1.013,1.133,-24.0,231.9,0.0,25.2,0.77,1.234,1.267,1.277
fastchamp_fast_lo,M30,1.04,1.148,-26.3,218.3,0.0,26.8,0.77,1.234,1.267,1.277
breakout_day_lo,M15,0.995,1.141,-17.9,200.4,0.0,17.4,0.73,1.215,1.257,1.277
breakout_day_lo,M30,1.001,1.15,-18.7,210.9,0.0,17.9,0.72,1.212,1.256,1.277
breakout_2day_lo,M15,0.971,1.047,-22.1,113.3,0.0,18.2,0.76,1.209,1.251,1.277
breakout_2day_lo,M30,0.968,1.047,-22.8,120.2,0.0,18.8,0.76,1.207,1.25,1.277
ewmac_med_lo,M15,0.938,1.084,-23.7,211.5,0.0,17.0,0.74,1.204,1.249,1.277
fastchamp_fast_lo,H1,0.953,1.041,-28.1,185.6,0.0,26.1,0.8,1.202,1.244,1.277
breakout_2day_lo,H1,0.932,1.008,-19.2,114.2,0.0,18.0,0.76,1.2,1.244,1.277
breakout_day_lo,H1,0.961,1.112,-18.9,207.1,0.0,17.0,0.73,1.193,1.243,1.277
ewmac_fast_lo,M15,0.862,1.093,-25.5,325.4,0.0,15.7,0.69,1.172,1.232,1.277
ewmac_fast_lo,M30,0.914,1.036,-23.6,187.1,0.0,17.6,0.73,1.17,1.228,1.277
ewmac_vfast_lo,H1,0.897,1.001,-19.6,158.3,0.0,17.7,0.74,1.164,1.223,1.277
fastchamp_vfast_lo,H1,0.857,1.026,-30.5,332.5,0.0,21.9,0.78,1.143,1.206,1.277
fastchamp_vfast_lo,M30,0.809,1.02,-32.5,405.9,0.0,19.5,0.75,1.122,1.195,1.277
ewmac_med_lo,M30,0.849,0.931,-28.5,135.5,0.0,17.2,0.77,1.119,1.191,1.277
ewmac_fast_lo,H1,0.81,0.873,-27.3,105.1,0.0,17.0,0.77,1.111,1.186,1.277
ewmac_vfast_lo,M30,0.825,1.032,-22.9,307.8,0.0,15.6,0.69,1.108,1.191,1.277
breakout_halfday_lo,M15,0.771,1.071,-23.9,394.7,0.0,13.1,0.7,1.106,1.189,1.277
fastchamp_vfast_lo,M15,0.75,0.995,-33.5,450.2,0.0,17.6,0.75,1.104,1.184,1.277
breakout_halfday_lo,M30,0.791,1.094,-23.9,411.5,0.0,13.5,0.69,1.096,1.183,1.277
ewmac_med_lo,H1,0.754,0.798,-33.7,77.6,0.0,16.5,0.84,1.066,1.151,1.277
breakout_halfday_lo,H1,0.72,1.034,-24.4,409.2,0.0,12.2,0.69,1.055,1.156,1.277
breakout_2day_ls,M15,0.591,0.701,-38.4,184.4,0.24,12.2,0.37,1.047,1.185,1.277
breakout_2day_ls,M30,0.582,0.693,-39.3,196.2,0.24,12.3,0.37,1.023,1.169,1.277
intraday_mom_lo,M30,0.531,0.875,-15.5,306.5,0.0,5.6,0.58,0.995,1.128,1.277
breakout_2day_ls,H1,0.523,0.634,-37.6,191.6,0.24,11.1,0.36,0.993,1.151,1.277
ewmac_med_ls,M30,0.514,0.613,-35.0,193.9,0.16,11.0,0.44,0.99,1.14,1.277
ewmac_vfast_lo,M15,0.582,0.997,-37.0,586.4,0.0,10.5,0.66,0.987,1.115,1.277
ewmac_med_ls,M15,0.455,0.636,-36.8,309.4,0.31,9.4,0.33,0.978,1.146,1.277
ewmac_fast_ls,M30,0.472,0.631,-37.2,288.0,0.29,10.1,0.33,0.966,1.136,1.277
ewmac_vfast_ls,H1,0.451,0.596,-35.1,258.8,0.28,10.3,0.33,0.964,1.136,1.277
intraday_mom_lo,M15,0.517,0.854,-16.0,296.2,0.0,5.3,0.58,0.961,1.106,1.277
ewmac_fast_ls,H1,0.426,0.51,-36.2,162.0,0.16,9.3,0.45,0.94,1.106,1.277
ewmac_fast_ls,M15,0.34,0.652,-33.6,513.2,0.61,7.5,0.24,0.94,1.132,1.277
breakout_day_ls,M30,0.425,0.644,-36.1,353.3,0.47,8.8,0.26,0.933,1.124,1.277
breakout_day_ls,M15,0.394,0.61,-34.0,335.0,0.45,8.1,0.28,0.927,1.119,1.277
breakout_day_ls,H1,0.392,0.612,-34.2,350.6,0.47,8.2,0.25,0.905,1.109,1.277
ewmac_med_ls,H1,0.405,0.459,-38.5,109.4,0.09,8.6,0.59,0.901,1.066,1.277
ewmac_vfast_ls,M30,0.319,0.613,-33.1,503.2,0.59,7.2,0.23,0.898,1.106,1.277
intraday_mom_lo,H1,0.375,0.746,-18.7,300.2,0.0,4.0,0.56,0.886,1.059,1.277
orb_london_lo,M15,0.263,0.578,-21.4,292.1,0.0,2.7,0.6,0.877,1.05,1.277
orb_ny_lo,M15,0.271,0.73,-12.5,272.9,0.0,2.2,0.49,0.873,1.058,1.277
breakout_halfday_ls,M30,0.222,0.68,-31.6,699.5,0.96,4.8,0.18,0.866,1.093,1.277
breakout_halfday_ls,M15,0.19,0.639,-29.4,664.1,0.95,4.5,0.2,0.866,1.091,1.277
orb_ny_lo,M30,0.267,0.731,-12.9,279.7,0.0,2.1,0.48,0.864,1.054,1.277
orb_ny_lo,H1,0.161,0.63,-14.9,268.1,0.0,1.2,0.45,0.854,1.051,1.277
breakout_halfday_ls,H1,0.174,0.645,-34.6,700.3,1.0,4.0,0.16,0.848,1.086,1.277
orb_london_lo,M30,0.239,0.561,-21.4,307.7,0.0,2.5,0.59,0.836,1.024,1.277
orb_ny_ls,H1,-0.193,0.462,-19.7,486.5,0.44,-1.0,0.11,0.783,1.052,1.277
ewmac_vfast_ls,M15,0.03,0.608,-47.8,965.4,1.19,1.4,0.16,0.752,1.024,1.277
orb_ny_ls,M30,-0.224,0.437,-25.6,500.8,0.47,-1.3,0.16,0.72,1.005,1.277
orb_london_ls,M15,-0.254,0.154,-41.9,482.5,0.51,-2.4,0.02,0.699,1.015,1.277
orb_london_ls,M30,-0.21,0.205,-39.1,507.8,0.51,-2.1,0.01,0.695,1.013,1.277
orb_london_lo,H1,-0.064,0.234,-26.3,303.9,0.0,-0.6,0.59,0.656,0.906,1.277
orb_london_ls,H1,-0.301,0.089,-44.2,491.7,0.51,-3.2,0.04,0.614,0.957,1.277
orb_ny_ls,M15,-0.402,0.237,-29.9,488.1,0.48,-2.5,0.14,0.589,0.924,1.277
intraday_mom_ls,M30,-0.311,0.144,-48.2,507.2,0.53,-4.0,0.07,0.573,0.925,1.277
intraday_mom_ls,M15,-0.296,0.151,-47.9,488.6,0.53,-3.7,0.08,0.548,0.909,1.277
intraday_mom_ls,H1,-0.645,-0.159,-55.7,495.0,0.53,-6.9,0.06,0.344,0.783,1.277
