time_utc,account,balance,equity,action,phase,progress_pct,day_dd_pct,total_dd_pct,n_symbols,n_mapped,plan,sent
2026-07-20 07:18:23,1514025597,99999.14,99987.66,trade,1,-0.012,-0.012,-0.012,3,0,guard_only:safe,1
2026-07-20 07:20:29,1514025597,99999.14,99989.86,trade,1,-0.01,-0.01,-0.01,3,0,guard_only:safe,1
2026-07-20 07:22:29,1514025597,99999.14,100012.45,trade,1,0.012,0.012,0.012,3,0,guard_only:safe,1
2026-07-20 07:24:28,1514025597,99999.14,100017.95,trade,1,0.018,0.018,0.018,3,0,guard_only:safe,1
2026-07-20 07:26:29,1514025597,99999.14,100026.21,trade,1,0.026,0.026,0.026,3,0,guard_only:safe,1
2026-07-20 07:28:28,1514025597,99999.14,100033.41,trade,1,0.033,0.033,0.033,3,0,guard_only:safe,1
2026-07-20 07:30:29,1514025597,99999.14,100057.59,trade,1,0.058,0.058,0.058,3,0,guard_only:safe,1
2026-07-20 07:32:29,1514025597,99999.14,100046.83,trade,1,0.047,0.047,0.047,3,0,guard_only:safe,1
2026-07-20 07:34:29,1514025597,99999.14,100064.49,trade,1,0.064,0.064,0.064,3,0,guard_only:safe,1
2026-07-20 07:36:29,1514025597,99999.14,100066.35,trade,1,0.066,0.066,0.066,3,0,guard_only:safe,1
2026-07-20 07:38:29,1514025597,99999.14,100067.69,trade,1,0.068,0.068,0.068,3,0,guard_only:safe,1
2026-07-20 07:40:29,1514025597,100018.05,100064.72,trade,1,0.065,0.065,0.065,3,0,guard_only:safe,1
2026-07-20 07:42:29,1514025597,100018.05,100066.72,trade,1,0.067,0.067,0.067,3,0,guard_only:safe,1
2026-07-20 07:44:29,1514025597,100018.05,100065.9,trade,1,0.066,0.066,0.066,3,0,guard_only:safe,1
2026-07-20 07:46:29,1514025597,100018.05,100072.43,trade,1,0.072,0.072,0.072,3,0,guard_only:safe,1
2026-07-20 07:48:29,1514025597,100018.05,100057.48,trade,1,0.057,0.057,0.057,3,0,guard_only:safe,1
2026-07-20 07:50:29,1514025597,100018.05,100055.17,trade,1,0.055,0.055,0.055,3,0,guard_only:safe,1
2026-07-20 07:52:29,1514025597,100018.05,100064.94,trade,1,0.065,0.065,0.065,3,0,guard_only:safe,1
2026-07-20 07:54:29,1514025597,100018.05,100060.21,trade,1,0.06,0.06,0.06,3,0,guard_only:safe,1
2026-07-20 07:56:29,1514025597,100018.05,100074.09,trade,1,0.074,0.074,0.074,3,0,guard_only:safe,1
2026-07-20 07:58:29,1514025597,100018.05,100076.42,trade,1,0.076,0.076,0.076,3,0,guard_only:safe,1
2026-07-20 08:00:16,1514025597,100018.05,100081.53,trade,1,0.082,0.082,0.082,3,0,guard_only:safe,1
2026-07-20 08:02:29,1514025597,100018.05,100084.5,trade,1,0.084,0.084,0.084,3,0,guard_only:safe,1
2026-07-20 08:04:10,1514025597,100018.05,100092.73,trade,1,0.093,0.093,0.093,3,0,guard_only:safe,1
2026-07-20 08:06:29,1514025597,100018.05,100077.94,trade,1,0.078,0.078,0.078,3,0,guard_only:safe,1
2026-07-20 08:08:28,1514025597,100018.05,100063.85,trade,1,0.064,0.064,0.064,3,0,guard_only:safe,1
2026-07-20 08:10:29,1514025597,100018.05,100065.02,trade,1,0.065,0.065,0.065,3,0,guard_only:safe,1
2026-07-20 08:12:29,1514025597,100018.05,100076.75,trade,1,0.077,0.077,0.077,3,0,guard_only:safe,1
2026-07-20 08:14:29,1514025597,100018.05,100088.66,trade,1,0.089,0.089,0.089,3,0,guard_only:safe,1
2026-07-20 08:16:29,1514025597,100018.05,100097.61,trade,1,0.098,0.098,0.098,3,0,guard_only:safe,1
2026-07-20 08:18:29,1514025597,100018.05,100085.74,trade,1,0.086,0.086,0.086,3,0,guard_only:safe,1
2026-07-20 08:20:29,1514025597,100018.05,100077.18,trade,1,0.077,0.077,0.077,3,0,guard_only:safe,1
2026-07-20 08:22:29,1514025597,100018.05,100077.63,trade,1,0.078,0.078,0.078,3,0,guard_only:safe,1
2026-07-20 08:24:29,1514025597,100018.05,100075.52,trade,1,0.076,0.076,0.076,3,0,guard_only:safe,1
2026-07-20 08:26:29,1514025597,100018.05,100075.31,trade,1,0.075,0.075,0.075,3,0,guard_only:safe,1
2026-07-20 08:28:28,1514025597,100018.05,100074.85,trade,1,0.075,0.075,0.075,3,0,guard_only:safe,1
2026-07-20 08:30:28,1514025597,100018.05,100067.56,trade,1,0.068,0.068,0.068,3,0,guard_only:safe,1
2026-07-20 08:32:29,1514025597,100018.05,100062.05,trade,1,0.062,0.062,0.062,3,0,guard_only:safe,1
2026-07-20 08:34:29,1514025597,100018.05,100056.37,trade,1,0.056,0.056,0.056,3,0,guard_only:safe,1
2026-07-20 08:36:29,1514025597,100018.05,100052.65,trade,1,0.053,0.053,0.053,3,0,guard_only:safe,1
2026-07-20 08:38:29,1514025597,100018.05,100042.55,trade,1,0.043,0.043,0.043,3,0,guard_only:safe,1
2026-07-20 08:40:03,1514025597,100018.05,100047.9,trade,1,0.048,0.048,0.048,3,0,guard_only:safe,1
2026-07-20 08:42:29,1514025597,100018.05,100052.63,trade,1,0.053,0.053,0.053,3,0,guard_only:safe,1
2026-07-20 08:44:29,1514025597,100018.05,100041.28,trade,1,0.041,0.041,0.041,3,0,guard_only:safe,1
2026-07-20 08:46:29,1514025597,100018.05,100043.7,trade,1,0.044,0.044,0.044,3,0,guard_only:safe,1
2026-07-20 08:48:29,1514025597,100018.05,100048.47,trade,1,0.048,0.048,0.048,3,0,guard_only:safe,1
2026-07-20 08:50:29,1514025597,100018.05,100054.25,trade,1,0.054,0.054,0.054,3,0,guard_only:safe,1
2026-07-20 08:52:29,1514025597,100018.05,100049.46,trade,1,0.049,0.049,0.049,3,0,guard_only:safe,1
2026-07-20 08:54:29,1514025597,100018.05,100039.96,trade,1,0.04,0.04,0.04,3,0,guard_only:safe,1
2026-07-20 08:56:29,1514025597,100018.05,100043.83,trade,1,0.044,0.044,0.044,3,0,guard_only:safe,1
2026-07-20 08:58:29,1514025597,100018.05,100050.77,trade,1,0.051,0.051,0.051,3,0,guard_only:safe,1
2026-07-20 09:00:29,1514025597,100018.05,100049.75,trade,1,0.05,0.05,0.05,3,0,guard_only:safe,1
2026-07-20 09:02:29,1514025597,100018.05,100054.22,trade,1,0.054,0.054,0.054,3,0,guard_only:safe,1
2026-07-20 09:04:29,1514025597,100018.05,100048.89,trade,1,0.049,0.049,0.049,3,0,guard_only:safe,1
2026-07-20 09:07:25,1514025597,100018.05,100038.18,trade,1,0.038,0.038,0.038,3,0,guard_only:safe,1
2026-07-20 09:08:29,1514025597,100018.05,100040.1,trade,1,0.04,0.04,0.04,3,0,guard_only:safe,1
2026-07-20 09:10:04,1514025597,100018.05,100044.75,trade,1,0.045,0.045,0.045,3,0,guard_only:safe,1
2026-07-20 09:12:29,1514025597,100018.05,100047.99,trade,1,0.048,0.048,0.048,3,0,guard_only:safe,1
2026-07-20 09:14:29,1514025597,100018.05,100047.87,trade,1,0.048,0.048,0.048,3,0,guard_only:safe,1
2026-07-20 09:16:29,1514025597,100018.05,100059.84,trade,1,0.06,0.06,0.06,3,0,guard_only:safe,1
2026-07-20 09:18:29,1514025597,100018.05,100061.46,trade,1,0.061,0.061,0.061,3,0,guard_only:safe,1
2026-07-20 09:20:29,1514025597,100018.05,100060.23,trade,1,0.06,0.06,0.06,3,0,guard_only:safe,1
2026-07-20 09:22:28,1514025597,100018.05,100069.37,trade,1,0.069,0.069,0.069,3,0,guard_only:safe,1
2026-07-20 09:24:29,1514025597,100018.05,100068.51,trade,1,0.069,0.069,0.069,3,0,guard_only:safe,1
2026-07-20 09:26:29,1514025597,100018.05,100072.81,trade,1,0.073,0.073,0.073,3,0,guard_only:safe,1
2026-07-20 09:28:29,1514025597,100018.05,100065.26,trade,1,0.065,0.065,0.065,3,0,guard_only:safe,1
2026-07-20 09:30:29,1514025597,100018.05,100061.76,trade,1,0.062,0.062,0.062,3,0,guard_only:safe,1
2026-07-20 09:32:29,1514025597,100018.05,100069.06,trade,1,0.069,0.069,0.069,3,0,guard_only:safe,1
2026-07-20 09:34:29,1514025597,100018.05,100069.53,trade,1,0.07,0.07,0.07,3,0,guard_only:safe,1
2026-07-20 09:36:29,1514025597,100018.05,100076.88,trade,1,0.077,0.077,0.077,3,0,guard_only:safe,1
2026-07-20 09:38:29,1514025597,100018.05,100075.88,trade,1,0.076,0.076,0.076,3,0,guard_only:safe,1
2026-07-20 09:40:28,1514025597,100018.05,100077.49,trade,1,0.077,0.077,0.077,3,0,guard_only:safe,1
2026-07-20 09:42:28,1514025597,100018.05,100085.51,trade,1,0.086,0.086,0.086,3,0,guard_only:safe,1
2026-07-20 09:44:29,1514025597,100018.05,100088.52,trade,1,0.089,0.089,0.089,3,0,guard_only:safe,1
2026-07-20 09:46:29,1514025597,100018.05,100094.75,trade,1,0.095,0.095,0.095,3,0,guard_only:safe,1
2026-07-20 09:48:28,1514025597,100018.05,100099.84,trade,1,0.1,0.1,0.1,3,0,guard_only:safe,1
2026-07-20 09:50:28,1514025597,100018.05,100102.02,trade,1,0.102,0.102,0.102,3,0,guard_only:safe,1
2026-07-20 09:52:29,1514025597,100018.05,100107.29,trade,1,0.107,0.107,0.107,3,0,guard_only:safe,1
2026-07-20 09:54:29,1514025597,100018.05,100106.85,trade,1,0.107,0.107,0.107,3,0,guard_only:safe,1
2026-07-20 09:56:29,1514025597,100018.05,100096.48,trade,1,0.096,0.096,0.096,3,0,guard_only:safe,1
