open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-29 20:00:00,2016-01-04 08:00:00,sell,0.06,1.48,1.48,37.74,0.9,high,trail_stop
2016-01-04 12:00:00,2016-01-07 16:00:00,sell,0.06,1.48,1.46,93.11,2.01,high,trail_stop
2016-01-07 20:00:00,2016-01-11 08:00:00,sell,0.06,1.46,1.46,23.13,0.46,high,trail_stop
2016-01-11 12:00:00,2016-01-12 16:00:00,sell,0.06,1.46,1.44,79.47,1.66,high,trail_stop
2016-01-12 20:00:00,2016-01-19 08:00:00,sell,0.05,1.44,1.43,46.15,0.93,high,trail_stop
2016-01-19 12:00:00,2016-01-20 12:00:00,sell,0.06,1.43,1.42,53.66,1.06,high,trail_stop
2016-01-20 16:00:00,2016-01-21 16:00:00,sell,0.05,1.42,1.42,-0.2,-0.0,high,trail_stop
2016-01-21 20:00:00,2016-01-22 12:00:00,sell,0.04,1.42,1.43,-45.18,-1.01,high,stop_loss
2016-01-22 16:00:00,2016-01-26 12:00:00,sell,0.05,1.43,1.43,22.7,0.42,high,trail_stop
2016-01-26 16:00:00,2016-01-28 08:00:00,sell,0.05,1.43,1.43,-6.28,-0.12,high,trail_stop
2016-01-28 12:00:00,2016-01-28 16:00:00,sell,0.05,1.43,1.44,-51.05,-1.01,high,stop_loss
2016-01-28 20:00:00,2016-02-01 00:00:00,sell,0.04,1.44,1.43,40.39,0.91,high,trail_stop
2016-02-01 04:00:00,2016-02-01 12:00:00,sell,0.05,1.43,1.44,-55.58,-1.01,high,stop_loss
2016-02-01 16:00:00,2016-02-03 08:00:00,sell,0.04,1.44,1.45,-48.01,-1.01,high,stop_loss
2016-02-03 12:00:00,2016-02-03 16:00:00,sell,0.04,1.45,1.46,-47.59,-1.01,high,stop_loss
2016-02-03 20:00:00,2016-02-09 08:00:00,sell,0.04,1.46,1.45,47.56,0.93,high,trail_stop
2016-02-09 12:00:00,2016-02-10 08:00:00,sell,0.04,1.44,1.45,-45.88,-1.01,high,stop_loss
2016-02-10 12:00:00,2016-02-11 00:00:00,sell,0.04,1.45,1.46,-19.3,-0.42,high,trail_stop
2016-02-11 04:00:00,2016-02-12 04:00:00,sell,0.04,1.45,1.45,13.11,0.27,high,trail_stop
2016-02-12 08:00:00,2016-02-18 08:00:00,sell,0.04,1.45,1.44,55.05,1.16,high,trail_stop
2016-02-18 12:00:00,2016-02-19 16:00:00,sell,0.04,1.44,1.44,0.61,0.01,high,trail_stop
2016-02-19 20:00:00,2016-02-25 12:00:00,sell,0.04,1.44,1.4,145.1,3.14,high,trail_stop
2016-02-25 16:00:00,2016-03-01 04:00:00,sell,0.04,1.39,1.4,-5.47,-0.11,high,trail_stop
2016-03-01 08:00:00,2016-03-02 12:00:00,sell,0.05,1.4,1.4,-25.59,-0.48,high,trail_stop
2016-03-02 16:00:00,2016-03-03 16:00:00,sell,0.04,1.41,1.42,-46.91,-1.01,high,stop_loss
2016-03-03 20:00:00,2016-03-04 16:00:00,sell,0.04,1.42,1.42,-21.6,-0.47,high,trail_stop
2016-03-04 20:00:00,2016-03-07 16:00:00,sell,0.04,1.42,1.42,-14.1,-0.32,high,trail_stop
2016-03-07 20:00:00,2016-03-10 12:00:00,sell,0.05,1.43,1.43,-10.5,-0.2,high,trail_stop
2016-03-10 16:00:00,2016-03-11 16:00:00,sell,0.05,1.43,1.44,-52.54,-1.01,high,stop_loss
2016-03-11 20:00:00,2016-03-16 16:00:00,sell,0.05,1.44,1.42,113.07,2.17,high,trail_stop
2016-03-16 20:00:00,2016-03-17 08:00:00,sell,0.03,1.43,1.44,-33.75,-1.01,med,stop_loss
2016-03-17 12:00:00,2016-03-17 12:00:00,sell,0.03,1.44,1.45,-35.44,-1.01,med,stop_loss
2016-03-17 16:00:00,2016-03-28 12:00:00,sell,0.01,1.45,1.42,30.08,2.34,low,trail_stop
2016-03-28 16:00:00,2016-03-29 08:00:00,sell,0.06,1.42,1.43,-20.39,-0.4,high,trail_stop
2016-03-29 12:00:00,2016-03-29 16:00:00,sell,0.06,1.43,1.44,-51.07,-1.02,high,stop_loss
2016-03-29 20:00:00,2016-03-31 08:00:00,sell,0.03,1.44,1.44,-12.32,-0.42,med,trail_stop
2016-03-31 12:00:00,2016-04-04 08:00:00,sell,0.03,1.44,1.43,36.24,1.22,med,trail_stop
2016-04-04 12:00:00,2016-04-06 12:00:00,sell,0.03,1.43,1.41,46.05,1.59,med,trail_stop
2016-04-06 16:00:00,2016-04-11 08:00:00,sell,0.01,1.42,1.42,0.26,0.02,low,trail_stop
2016-04-11 12:00:00,2016-04-12 08:00:00,sell,0.03,1.42,1.43,-32.02,-1.01,med,stop_loss
2016-04-12 12:00:00,2016-04-15 08:00:00,sell,0.03,1.43,1.42,33.98,1.12,med,trail_stop
2016-04-15 12:00:00,2016-04-18 12:00:00,sell,0.05,1.42,1.42,-17.51,-0.39,high,trail_stop
2016-04-18 16:00:00,2016-04-19 08:00:00,sell,0.03,1.43,1.44,-29.57,-1.01,med,stop_loss
2016-04-19 12:00:00,2016-04-21 12:00:00,sell,0.03,1.44,1.44,-6.82,-0.24,med,trail_stop
2016-04-21 16:00:00,2016-04-22 12:00:00,sell,0.02,1.43,1.44,-20.3,-1.01,low,stop_loss
2016-04-22 16:00:00,2016-04-25 08:00:00,sell,0.02,1.44,1.45,-20.44,-1.01,low,stop_loss
2016-04-25 12:00:00,2016-04-26 12:00:00,sell,0.01,1.45,1.46,-10.82,-1.01,low,stop_loss
2016-04-26 16:00:00,2016-04-28 04:00:00,sell,0.02,1.46,1.46,6.17,0.3,low,trail_stop
2016-05-16 12:00:00,2016-05-16 20:00:00,sell,0.02,1.44,1.44,-15.8,-1.03,low,stop_loss
2016-06-14 04:00:00,2016-06-16 16:00:00,sell,0.01,1.42,1.42,2.32,0.15,low,trail_stop
2016-06-16 20:00:00,2016-06-17 16:00:00,sell,0.01,1.42,1.44,-15.73,-1.01,low,stop_loss
2016-06-17 20:00:00,2016-06-19 20:00:00,sell,0.01,1.44,1.45,-15.82,-1.02,low,stop_loss
2016-06-29 12:00:00,2016-07-12 04:00:00,sell,0.01,1.34,1.31,33.48,1.13,low,trail_stop
2016-07-12 08:00:00,2016-07-12 16:00:00,sell,0.03,1.31,1.33,-45.79,-1.01,high,stop_loss
2016-07-12 20:00:00,2016-07-14 04:00:00,sell,0.03,1.32,1.33,-3.77,-0.08,high,trail_stop
2016-07-14 08:00:00,2016-07-14 08:00:00,sell,0.03,1.32,1.34,-49.49,-1.01,high,stop_loss
2016-07-14 12:00:00,2016-07-20 20:00:00,sell,0.02,1.34,1.33,22.66,0.59,high,trail_stop
2016-07-21 00:00:00,2016-07-27 16:00:00,sell,0.03,1.32,1.32,10.69,0.24,high,trail_stop
2016-07-27 20:00:00,2016-07-29 12:00:00,sell,0.04,1.32,1.32,-18.57,-0.38,high,trail_stop
2016-07-29 16:00:00,2016-08-02 12:00:00,sell,0.04,1.33,1.33,-6.78,-0.14,high,trail_stop
2016-08-02 16:00:00,2016-08-10 00:00:00,sell,0.04,1.33,1.31,102.95,2.39,high,trail_stop
2016-08-10 04:00:00,2016-08-12 12:00:00,sell,0.05,1.31,1.3,19.49,0.44,high,trail_stop
2016-08-12 16:00:00,2016-08-16 08:00:00,sell,0.05,1.29,1.3,-12.78,-0.29,high,trail_stop
2016-08-16 12:00:00,2016-08-16 16:00:00,sell,0.06,1.3,1.3,-48.53,-1.02,high,stop_loss
2016-08-16 20:00:00,2016-08-18 00:00:00,sell,0.05,1.3,1.31,-15.27,-0.35,high,trail_stop
2016-08-18 04:00:00,2016-08-18 08:00:00,sell,0.05,1.31,1.31,-46.79,-1.02,high,stop_loss
2016-08-18 12:00:00,2016-08-22 12:00:00,sell,0.05,1.31,1.31,11.08,0.22,high,trail_stop
2016-08-22 16:00:00,2016-08-24 08:00:00,sell,0.05,1.31,1.32,-46.62,-1.02,high,stop_loss
2016-08-24 12:00:00,2016-08-26 12:00:00,sell,0.06,1.32,1.32,-12.74,-0.27,high,trail_stop
2016-08-26 16:00:00,2016-08-31 08:00:00,sell,0.05,1.32,1.31,9.2,0.21,high,trail_stop
2016-08-31 12:00:00,2016-09-01 04:00:00,sell,0.06,1.31,1.32,-13.06,-0.28,high,trail_stop
2016-09-01 08:00:00,2016-09-01 08:00:00,sell,0.06,1.31,1.32,-43.98,-1.02,high,stop_loss
2016-09-01 12:00:00,2016-09-02 12:00:00,sell,0.05,1.32,1.33,-43.71,-1.02,high,stop_loss
2016-09-02 16:00:00,2016-09-06 12:00:00,sell,0.05,1.33,1.34,-44.44,-1.02,high,stop_loss
2016-09-06 16:00:00,2016-09-12 12:00:00,sell,0.05,1.34,1.33,53.49,1.3,high,trail_stop
2016-09-12 16:00:00,2016-09-14 16:00:00,sell,0.04,1.33,1.32,38.41,1.29,med,trail_stop
2016-09-14 20:00:00,2016-09-19 12:00:00,sell,0.03,1.32,1.31,45.95,1.78,med,trail_stop
2016-09-19 16:00:00,2016-09-21 16:00:00,sell,0.05,1.3,1.3,6.04,0.13,high,trail_stop
2016-09-21 20:00:00,2016-09-27 04:00:00,sell,0.05,1.3,1.3,17.53,0.4,high,trail_stop
2016-09-27 08:00:00,2016-09-28 20:00:00,sell,0.06,1.3,1.3,-46.73,-1.02,high,stop_loss
2016-09-29 00:00:00,2016-09-30 12:00:00,sell,0.06,1.3,1.3,12.13,0.26,high,trail_stop
2016-09-30 16:00:00,2016-10-05 12:00:00,sell,0.05,1.3,1.28,120.53,2.93,high,trail_stop
2016-10-05 16:00:00,2016-10-07 00:00:00,sell,0.05,1.27,1.2,366.36,8.31,high,trail_stop
2016-10-07 04:00:00,2016-10-07 12:00:00,sell,0.02,1.24,1.24,1.94,0.05,med,trail_stop
2016-10-07 16:00:00,2016-10-12 00:00:00,sell,0.02,1.24,1.23,24.71,0.58,med,trail_stop
2016-10-12 04:00:00,2016-10-18 12:00:00,sell,0.03,1.23,1.23,-4.86,-0.09,high,trail_stop
2016-10-18 16:00:00,2016-10-25 16:00:00,sell,0.05,1.23,1.22,53.65,0.93,high,trail_stop
