fold,component,train_start,train_end,fit_start,fit_end,n_train_rows,n_test_rows
0,feature_scaler,2024-01-08 21:00:00,2024-07-06 21:00:00,2024-01-08 21:00:00,2024-07-06 21:00:00,12342,2000
0,classifier,2024-01-08 21:00:00,2024-07-06 21:00:00,2024-01-08 21:00:00,2024-07-06 21:00:00,12342,2000
1,feature_scaler,2024-01-08 21:00:00,2024-08-05 21:00:00,2024-01-08 21:00:00,2024-08-05 21:00:00,14346,2108
1,classifier,2024-01-08 21:00:00,2024-08-05 21:00:00,2024-01-08 21:00:00,2024-08-05 21:00:00,14346,2108
2,feature_scaler,2024-01-08 21:00:00,2024-09-04 21:00:00,2024-01-08 21:00:00,2024-09-04 21:00:00,16458,2108
2,classifier,2024-01-08 21:00:00,2024-09-04 21:00:00,2024-01-08 21:00:00,2024-09-04 21:00:00,16458,2108
3,feature_scaler,2024-01-08 21:00:00,2024-10-04 21:00:00,2024-01-08 21:00:00,2024-10-04 21:00:00,18570,1928
3,classifier,2024-01-08 21:00:00,2024-10-04 21:00:00,2024-01-08 21:00:00,2024-10-04 21:00:00,18570,1928
4,feature_scaler,2024-01-08 21:00:00,2024-11-03 21:00:00,2024-01-08 21:00:00,2024-11-03 21:00:00,20502,2096
4,classifier,2024-01-08 21:00:00,2024-11-03 21:00:00,2024-01-08 21:00:00,2024-11-03 21:00:00,20502,2096
