open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-30 12:00:00,2016-01-04 00:00:00,sell,0.05,120.47,120.41,2.52,0.15,low,trail_stop
2016-01-04 04:00:00,2016-01-04 12:00:00,sell,0.04,119.67,119.19,16.27,1.03,low,trail_stop
2016-01-04 16:00:00,2016-01-07 12:00:00,sell,0.03,119.29,117.97,33.61,2.13,low,trail_stop
2016-01-07 16:00:00,2016-01-08 00:00:00,sell,0.04,118.07,118.42,-11.81,-0.36,med,trail_stop
2016-01-08 04:00:00,2016-01-11 08:00:00,sell,0.03,118.24,117.75,12.58,0.48,med,trail_stop
2016-01-11 12:00:00,2016-01-19 00:00:00,sell,0.03,117.65,117.56,2.28,0.09,med,trail_stop
2016-01-19 04:00:00,2016-01-20 12:00:00,sell,0.07,117.49,116.79,41.8,0.87,high,trail_stop
2016-01-20 16:00:00,2016-01-20 20:00:00,sell,0.05,116.19,117.19,-42.71,-1.01,high,stop_loss
2016-01-21 00:00:00,2016-01-21 16:00:00,sell,0.05,117.19,117.48,-12.7,-0.3,high,trail_stop
2016-01-21 20:00:00,2016-01-22 12:00:00,sell,0.05,117.47,118.53,-44.83,-1.0,high,stop_loss
2016-01-22 16:00:00,2016-01-27 12:00:00,sell,0.05,118.5,118.7,-8.52,-0.2,high,trail_stop
2016-01-27 16:00:00,2016-01-29 00:00:00,sell,0.07,118.74,119.54,-46.98,-1.01,high,stop_loss
2016-01-29 04:00:00,2016-01-29 08:00:00,sell,0.03,120.3,120.23,1.66,0.06,med,trail_stop
2016-01-29 12:00:00,2016-02-08 04:00:00,sell,0.03,120.97,117.53,87.72,2.88,med,trail_stop
2016-02-08 08:00:00,2016-02-09 04:00:00,sell,0.04,117.3,115.22,72.23,2.12,med,trail_stop
2016-02-09 08:00:00,2016-02-11 12:00:00,sell,0.03,115.29,112.3,79.92,2.36,med,trail_stop
2016-02-11 16:00:00,2016-02-14 20:00:00,sell,0.03,111.86,113.62,-46.48,-0.99,high,stop_loss
2016-02-15 00:00:00,2016-02-25 12:00:00,sell,0.03,113.66,112.65,26.89,0.64,high,trail_stop
2016-02-25 16:00:00,2016-02-26 12:00:00,sell,0.05,112.66,113.72,-46.49,-1.0,high,stop_loss
2016-02-26 16:00:00,2016-03-01 08:00:00,sell,0.05,113.9,113.26,28.59,0.6,high,trail_stop
2016-03-01 12:00:00,2016-03-01 16:00:00,sell,0.05,113.04,114.04,-43.64,-1.0,high,stop_loss
2016-03-01 20:00:00,2016-03-04 16:00:00,sell,0.05,114.04,114.19,-6.62,-0.14,high,trail_stop
2016-03-04 20:00:00,2016-03-09 16:00:00,sell,0.05,114.05,113.26,34.66,0.77,high,trail_stop
2016-03-09 20:00:00,2016-03-10 12:00:00,sell,0.06,113.37,114.25,-46.28,-1.01,high,stop_loss
2016-03-10 16:00:00,2016-03-11 04:00:00,sell,0.06,113.37,113.56,-9.98,-0.2,high,trail_stop
2016-03-11 08:00:00,2016-03-16 04:00:00,sell,0.05,113.71,113.67,1.86,0.04,high,trail_stop
2016-03-16 08:00:00,2016-03-17 12:00:00,sell,0.07,113.62,111.56,129.52,2.66,high,trail_stop
2016-03-17 16:00:00,2016-03-22 16:00:00,sell,0.05,111.29,112.46,-52.15,-1.0,high,stop_loss
2016-03-22 20:00:00,2016-03-25 00:00:00,sell,0.06,112.3,113.18,-46.23,-1.01,high,stop_loss
2016-03-25 04:00:00,2016-04-07 16:00:00,sell,0.07,113.1,108.41,302.67,6.7,high,trail_stop
2016-04-07 20:00:00,2016-04-12 12:00:00,sell,0.06,108.38,108.62,-13.5,-0.25,high,trail_stop
2016-04-12 16:00:00,2016-04-13 08:00:00,sell,0.07,108.54,109.39,-54.37,-1.01,high,stop_loss
2016-04-13 12:00:00,2016-04-15 00:00:00,sell,0.07,109.34,109.7,-23.15,-0.46,high,trail_stop
2016-04-15 04:00:00,2016-04-18 12:00:00,sell,0.08,109.62,108.56,78.41,1.51,high,trail_stop
2016-04-18 16:00:00,2016-04-20 16:00:00,sell,0.07,108.84,109.67,-52.75,-1.01,high,stop_loss
2016-04-20 20:00:00,2016-04-22 04:00:00,sell,0.08,109.76,110.0,-17.74,-0.33,high,trail_stop
2016-04-22 08:00:00,2016-04-22 12:00:00,sell,0.07,110.57,111.37,-50.17,-1.01,high,stop_loss
2016-04-22 16:00:00,2016-04-27 16:00:00,sell,0.06,111.49,111.55,-3.42,-0.07,high,trail_stop
2016-04-27 20:00:00,2016-04-28 12:00:00,sell,0.07,111.56,108.66,186.38,4.05,high,trail_stop
2016-04-28 16:00:00,2016-05-03 20:00:00,sell,0.03,108.54,106.78,49.18,1.46,med,trail_stop
2016-05-04 00:00:00,2016-05-09 04:00:00,sell,0.05,106.65,107.7,-48.68,-1.0,high,stop_loss
2016-05-09 08:00:00,2016-05-09 12:00:00,sell,0.07,107.64,108.48,-54.26,-1.01,high,stop_loss
2016-05-09 16:00:00,2016-05-10 08:00:00,sell,0.06,108.37,109.28,-49.61,-1.01,high,stop_loss
2016-05-10 12:00:00,2016-05-12 08:00:00,sell,0.07,109.18,109.06,8.07,0.15,high,trail_stop
2016-05-12 12:00:00,2016-05-13 12:00:00,sell,0.07,109.36,109.27,6.19,0.13,high,trail_stop
2016-05-13 16:00:00,2016-05-17 04:00:00,sell,0.07,109.13,109.29,-10.26,-0.2,high,trail_stop
2016-05-17 08:00:00,2016-05-18 04:00:00,sell,0.08,109.39,109.42,-2.65,-0.05,high,trail_stop
2016-05-18 08:00:00,2016-05-18 16:00:00,sell,0.07,109.42,110.22,-50.98,-1.01,high,stop_loss
2016-05-18 20:00:00,2016-05-20 12:00:00,sell,0.07,110.23,110.54,-19.75,-0.38,high,trail_stop
2016-05-20 16:00:00,2016-05-24 12:00:00,sell,0.08,110.52,109.82,50.69,1.0,high,trail_stop
2016-05-24 16:00:00,2016-05-26 08:00:00,sell,0.08,110.0,110.09,-6.76,-0.14,high,trail_stop
2016-05-26 12:00:00,2016-05-27 16:00:00,sell,0.09,110.06,110.13,-5.61,-0.11,high,trail_stop
2016-05-27 20:00:00,2016-05-30 04:00:00,sell,0.08,110.4,111.13,-52.28,-1.01,high,stop_loss
2016-05-30 08:00:00,2016-06-06 00:00:00,sell,0.05,111.35,107.12,197.54,5.94,med,trail_stop
2016-06-06 04:00:00,2016-06-10 00:00:00,sell,0.02,107.04,107.26,-4.18,-0.23,low,trail_stop
2016-06-10 04:00:00,2016-06-13 12:00:00,sell,0.07,106.97,106.54,28.26,0.54,high,trail_stop
2016-06-13 16:00:00,2016-06-16 12:00:00,sell,0.06,106.06,104.45,92.77,1.85,high,trail_stop
2016-06-16 16:00:00,2016-06-23 08:00:00,sell,0.05,104.03,105.11,-51.42,-1.0,high,stop_loss
2016-06-23 12:00:00,2016-06-23 20:00:00,sell,0.06,105.49,106.5,-56.9,-1.01,high,stop_loss
2016-06-24 00:00:00,2016-06-24 04:00:00,sell,0.04,104.91,100.41,179.34,3.27,high,trail_stop
2016-06-24 08:00:00,2016-07-11 12:00:00,sell,0.01,103.07,102.54,5.22,0.21,low,trail_stop
2016-07-11 16:00:00,2016-07-12 08:00:00,sell,0.06,102.65,103.66,-58.53,-1.0,high,stop_loss
2016-07-12 12:00:00,2016-07-14 04:00:00,sell,0.05,103.88,105.01,-53.69,-1.0,high,stop_loss
2016-07-14 08:00:00,2016-07-17 20:00:00,sell,0.05,105.42,105.89,-22.15,-0.37,high,trail_stop
2016-07-18 00:00:00,2016-07-20 12:00:00,sell,0.03,105.38,106.76,-38.66,-1.0,med,stop_loss
2016-07-20 16:00:00,2016-07-21 12:00:00,sell,0.06,106.64,106.41,12.78,0.23,high,trail_stop
2016-07-21 16:00:00,2016-07-27 00:00:00,sell,0.03,105.97,105.13,23.99,0.75,med,trail_stop
2016-07-27 04:00:00,2016-07-29 00:00:00,sell,0.02,105.96,104.52,27.6,1.27,low,trail_stop
2016-07-29 04:00:00,2016-08-08 08:00:00,sell,0.01,103.49,102.35,11.13,0.7,low,trail_stop
2016-08-08 12:00:00,2016-08-11 16:00:00,sell,0.07,102.4,101.73,45.82,0.89,high,trail_stop
2016-08-11 20:00:00,2016-08-16 16:00:00,sell,0.08,101.85,100.29,124.3,2.15,high,trail_stop
2016-08-16 20:00:00,2016-08-17 04:00:00,sell,0.07,100.26,101.11,-59.13,-1.01,high,stop_loss
2016-08-17 08:00:00,2016-08-21 20:00:00,sell,0.06,100.7,100.52,10.84,0.21,high,trail_stop
