open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-01-04 04:00:00,sell,0.06,1061.07,1068.75,-46.03,-1.06,high,stop_loss
2016-01-04 08:00:00,2016-01-04 12:00:00,sell,0.05,1071.01,1079.5,-42.43,-1.05,high,stop_loss
2016-01-04 16:00:00,2016-01-05 08:00:00,sell,0.05,1077.49,1081.07,-17.88,-0.38,high,trail_stop
2016-01-05 12:00:00,2016-01-06 12:00:00,sell,0.05,1079.39,1088.98,-47.97,-1.04,high,stop_loss
2016-01-06 16:00:00,2016-01-07 00:00:00,sell,0.04,1087.17,1098.15,-43.92,-1.04,high,stop_loss
2016-01-07 04:00:00,2016-01-07 16:00:00,sell,0.02,1097.35,1109.1,-23.51,-1.04,med,stop_loss
2016-01-07 20:00:00,2016-01-08 16:00:00,sell,0.02,1109.37,1104.77,9.21,0.38,med,trail_stop
2016-01-08 20:00:00,2016-01-13 16:00:00,sell,0.01,1101.96,1093.45,8.52,0.64,low,trail_stop
2016-01-13 20:00:00,2016-01-15 04:00:00,sell,0.01,1093.11,1084.92,8.19,0.63,low,trail_stop
2016-01-15 08:00:00,2016-01-15 12:00:00,sell,0.01,1083.92,1097.14,-13.22,-1.03,low,stop_loss
2016-01-15 16:00:00,2016-01-20 08:00:00,sell,0.01,1089.99,1096.8,-6.81,-0.49,low,trail_stop
2016-01-20 12:00:00,2016-01-20 16:00:00,sell,0.01,1094.68,1105.26,-10.58,-1.04,low,stop_loss
2016-01-20 20:00:00,2016-01-25 04:00:00,sell,0.01,1102.92,1103.94,-1.02,-0.09,low,trail_stop
2016-02-04 08:00:00,2016-02-05 12:00:00,buy,0.01,1142.19,1149.45,7.27,0.67,low,trail_stop
2016-02-05 16:00:00,2016-02-09 04:00:00,buy,0.01,1154.05,1187.7,33.65,2.66,low,trail_stop
2016-02-09 08:00:00,2016-02-10 08:00:00,buy,0.01,1186.73,1182.39,-4.35,-0.27,low,trail_stop
2016-02-10 12:00:00,2016-02-11 20:00:00,buy,0.02,1182.76,1247.33,129.15,4.17,med,trail_stop
2016-02-12 00:00:00,2016-02-15 04:00:00,buy,0.01,1240.66,1217.18,-23.48,-1.02,low,stop_loss
2016-02-15 08:00:00,2016-02-16 04:00:00,buy,0.01,1212.38,1191.05,-21.33,-1.02,med,stop_loss
2016-02-16 08:00:00,2016-02-17 00:00:00,buy,0.01,1195.91,1195.98,0.08,0.0,med,trail_stop
2016-02-17 04:00:00,2016-02-22 00:00:00,buy,0.01,1209.33,1217.29,7.96,0.36,med,trail_stop
2016-02-22 04:00:00,2016-02-24 16:00:00,buy,0.02,1216.95,1234.48,35.07,0.95,med,trail_stop
2016-02-24 20:00:00,2016-02-26 12:00:00,buy,0.01,1230.05,1220.67,-9.38,-0.43,med,trail_stop
2016-02-26 16:00:00,2016-03-02 00:00:00,buy,0.01,1217.38,1226.2,8.83,0.4,med,trail_stop
2016-03-02 04:00:00,2016-03-04 12:00:00,buy,0.02,1228.14,1255.22,54.15,1.42,high,trail_stop
2016-03-04 16:00:00,2016-03-09 08:00:00,buy,0.02,1269.26,1248.89,-40.74,-1.02,high,stop_loss
2016-03-09 12:00:00,2016-03-11 08:00:00,buy,0.02,1252.19,1265.39,26.4,0.72,high,trail_stop
2016-03-11 12:00:00,2016-03-14 12:00:00,buy,0.02,1264.6,1243.96,-41.28,-1.02,high,stop_loss
2016-03-14 16:00:00,2016-03-18 08:00:00,buy,0.02,1244.13,1251.26,14.26,0.37,high,trail_stop
2016-03-18 12:00:00,2016-03-23 00:00:00,buy,0.02,1251.28,1242.22,-18.11,-0.51,med,trail_stop
2016-03-23 04:00:00,2016-03-23 12:00:00,buy,0.03,1242.06,1226.64,-46.27,-1.03,high,stop_loss
2016-03-23 16:00:00,2016-03-30 12:00:00,buy,0.03,1223.6,1226.96,10.09,0.2,high,trail_stop
2016-03-30 16:00:00,2016-04-01 12:00:00,buy,0.02,1226.32,1224.37,-3.9,-0.13,med,trail_stop
2016-04-01 16:00:00,2016-04-06 08:00:00,buy,0.02,1214.51,1220.94,12.87,0.42,med,trail_stop
2016-04-06 12:00:00,2016-04-08 08:00:00,buy,0.02,1220.13,1229.76,19.27,0.74,med,trail_stop
2016-04-08 12:00:00,2016-04-13 04:00:00,buy,0.03,1234.81,1248.84,42.09,1.05,high,trail_stop
2016-04-13 08:00:00,2016-04-14 00:00:00,buy,0.04,1249.67,1236.76,-51.62,-1.04,high,stop_loss
2016-04-14 04:00:00,2016-04-14 12:00:00,buy,0.03,1233.2,1229.88,-9.96,-0.24,high,trail_stop
2016-04-14 16:00:00,2016-04-20 16:00:00,buy,0.02,1226.28,1242.56,32.57,1.09,med,trail_stop
2016-04-20 20:00:00,2016-04-21 16:00:00,buy,0.02,1245.33,1255.18,19.69,0.67,med,trail_stop
2016-04-21 20:00:00,2016-04-22 16:00:00,buy,0.02,1250.16,1233.13,-34.07,-1.03,med,stop_loss
2016-04-22 20:00:00,2016-05-03 12:00:00,buy,0.02,1233.97,1286.84,105.74,3.22,med,trail_stop
2016-05-03 16:00:00,2016-05-09 08:00:00,buy,0.03,1285.97,1277.8,-24.49,-0.47,high,trail_stop
2016-05-09 12:00:00,2016-05-10 12:00:00,buy,0.03,1273.08,1258.36,-44.16,-1.03,high,stop_loss
2016-05-10 16:00:00,2016-05-12 20:00:00,buy,0.03,1259.49,1266.61,21.36,0.52,high,trail_stop
2016-05-13 00:00:00,2016-05-16 16:00:00,buy,0.03,1267.18,1274.53,22.05,0.54,high,trail_stop
2016-05-16 20:00:00,2016-05-18 12:00:00,buy,0.03,1275.01,1268.26,-20.25,-0.5,high,trail_stop
2016-05-18 16:00:00,2016-05-18 16:00:00,buy,0.03,1273.61,1259.9,-41.13,-1.03,high,stop_loss
2016-05-18 20:00:00,2016-05-24 04:00:00,buy,0.03,1257.53,1242.08,-46.37,-1.03,high,stop_loss
2016-05-24 08:00:00,2016-05-24 12:00:00,buy,0.04,1243.08,1231.51,-46.26,-1.04,high,stop_loss
2016-05-24 16:00:00,2016-05-25 12:00:00,buy,0.02,1231.28,1219.16,-24.25,-1.03,med,stop_loss
2016-05-25 16:00:00,2016-05-26 12:00:00,buy,0.02,1222.26,1222.3,0.08,0.0,med,trail_stop
2016-05-26 16:00:00,2016-05-27 12:00:00,buy,0.02,1222.63,1210.32,-24.61,-1.03,med,stop_loss
2016-05-27 16:00:00,2016-05-30 00:00:00,buy,0.01,1214.73,1201.41,-13.32,-1.03,low,stop_loss
2016-05-30 04:00:00,2016-06-01 16:00:00,buy,0.01,1203.06,1206.87,3.81,0.29,low,trail_stop
2016-06-08 20:00:00,2016-06-15 08:00:00,buy,0.01,1262.55,1278.22,15.67,1.41,low,trail_stop
