open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2016-01-03 23:00:00,2016-01-04 06:00:00,sell,0.06,1061.79,1069.45,-45.98,-1.06,high,stop_loss
2016-01-04 08:30:00,2016-01-04 14:45:00,sell,0.05,1073.13,1081.62,-42.43,-1.05,high,stop_loss
2016-01-04 23:00:00,2016-01-06 07:45:00,sell,0.05,1073.05,1082.85,-49.0,-1.04,high,stop_loss
2016-01-06 08:45:00,2016-01-06 18:30:00,sell,0.05,1083.88,1093.49,-48.06,-1.05,high,stop_loss
2016-01-07 01:45:00,2016-01-07 15:00:00,sell,0.03,1096.13,1107.44,-33.92,-1.04,med,stop_loss
2016-01-07 16:15:00,2016-01-08 16:15:00,sell,0.02,1105.45,1104.6,1.71,0.07,med,trail_stop
2016-01-10 23:00:00,2016-01-13 19:00:00,sell,0.01,1105.32,1093.49,11.83,0.89,low,trail_stop
2016-01-14 03:00:00,2016-01-15 07:15:00,sell,0.01,1092.55,1084.92,7.63,0.58,low,trail_stop
2016-01-15 13:00:00,2016-01-20 12:45:00,sell,0.01,1087.22,1100.45,-13.22,-1.03,low,stop_loss
2016-01-20 17:00:00,2016-01-25 07:30:00,sell,0.01,1104.32,1103.45,0.87,0.08,low,trail_stop
2016-02-04 14:00:00,2016-02-05 13:45:00,buy,0.01,1153.3,1149.45,-3.85,-0.36,low,trail_stop
2016-02-07 23:00:00,2016-02-09 07:45:00,buy,0.01,1173.8,1187.69,13.89,1.1,low,trail_stop
2016-02-09 14:00:00,2016-02-10 09:30:00,buy,0.01,1198.47,1181.98,-16.5,-1.03,low,stop_loss
2016-02-10 18:00:00,2016-02-11 20:15:00,buy,0.02,1192.25,1247.32,110.15,3.56,med,trail_stop
2016-02-12 03:30:00,2016-02-15 07:45:00,buy,0.01,1234.78,1211.33,-23.45,-1.02,low,stop_loss
2016-02-15 14:00:00,2016-02-22 03:30:00,buy,0.01,1211.62,1218.54,6.92,0.33,med,trail_stop
2016-02-22 07:30:00,2016-02-24 19:00:00,buy,0.02,1212.29,1234.45,44.32,1.21,med,trail_stop
2016-02-24 23:15:00,2016-02-26 15:30:00,buy,0.01,1224.54,1220.67,-3.86,-0.18,med,trail_stop
2016-02-26 16:00:00,2016-03-02 01:00:00,buy,0.01,1211.82,1226.19,14.37,0.66,med,trail_stop
2016-03-02 10:00:00,2016-03-04 13:30:00,buy,0.02,1231.29,1255.21,47.85,1.25,high,trail_stop
2016-03-04 18:30:00,2016-03-09 01:00:00,buy,0.02,1264.18,1257.64,-13.09,-0.33,high,trail_stop
2016-03-09 10:00:00,2016-03-10 13:00:00,buy,0.02,1257.88,1238.91,-37.94,-1.02,high,stop_loss
2016-03-10 23:00:00,2016-03-11 08:45:00,buy,0.02,1271.75,1263.37,-16.76,-0.41,high,trail_stop
2016-03-11 15:15:00,2016-03-14 17:45:00,buy,0.02,1259.42,1238.76,-41.32,-1.02,high,stop_loss
2016-03-15 01:00:00,2016-03-18 11:45:00,buy,0.02,1228.35,1250.39,44.09,1.1,high,trail_stop
2016-03-18 18:00:00,2016-03-23 04:00:00,buy,0.02,1255.91,1237.86,-36.09,-1.03,med,stop_loss
2016-03-23 11:45:00,2016-03-24 01:15:00,buy,0.03,1230.76,1214.76,-47.98,-1.03,high,stop_loss
2016-03-24 06:45:00,2016-03-30 15:00:00,buy,0.03,1215.61,1227.86,36.75,0.78,high,trail_stop
2016-03-30 23:00:00,2016-04-01 12:30:00,buy,0.02,1225.73,1224.33,-2.8,-0.09,med,trail_stop
2016-04-03 23:00:00,2016-04-06 11:30:00,buy,0.02,1219.06,1220.95,3.78,0.12,med,trail_stop
2016-04-06 18:00:00,2016-04-08 10:00:00,buy,0.02,1222.42,1229.76,14.69,0.56,med,trail_stop
2016-04-08 18:00:00,2016-04-13 05:00:00,buy,0.03,1241.41,1248.85,22.31,0.56,high,trail_stop
2016-04-13 08:45:00,2016-04-14 00:15:00,buy,0.03,1246.46,1233.52,-38.8,-1.04,high,stop_loss
2016-04-14 10:00:00,2016-04-14 15:45:00,buy,0.03,1240.33,1226.16,-42.51,-1.03,high,stop_loss
2016-04-14 23:00:00,2016-04-20 19:15:00,buy,0.02,1228.46,1242.53,28.15,0.94,med,trail_stop
2016-04-21 03:00:00,2016-04-21 16:15:00,buy,0.02,1250.52,1255.19,9.34,0.32,med,trail_stop
2016-04-22 00:30:00,2016-04-22 16:45:00,buy,0.02,1245.87,1228.82,-34.09,-1.03,med,stop_loss
2016-04-25 03:00:00,2016-05-03 14:15:00,buy,0.02,1233.94,1286.84,105.79,3.22,med,trail_stop
2016-05-03 23:00:00,2016-05-09 08:15:00,buy,0.03,1285.49,1277.79,-23.11,-0.45,high,trail_stop
2016-05-09 13:15:00,2016-05-12 20:15:00,buy,0.03,1269.41,1266.11,-9.89,-0.23,high,trail_stop
2016-05-13 06:00:00,2016-05-16 16:30:00,buy,0.03,1275.33,1274.55,-2.34,-0.06,high,trail_stop
2016-05-17 03:00:00,2016-05-18 13:00:00,buy,0.03,1280.29,1266.36,-41.79,-1.03,high,stop_loss
2016-05-18 18:00:00,2016-05-18 19:30:00,buy,0.03,1270.22,1256.5,-41.16,-1.03,high,stop_loss
2016-05-19 03:00:00,2016-05-19 13:00:00,buy,0.03,1259.17,1243.74,-46.28,-1.03,high,stop_loss
2016-05-19 23:00:00,2016-05-24 07:15:00,buy,0.03,1257.06,1242.33,-44.19,-1.03,high,stop_loss
2016-05-24 12:15:00,2016-05-24 16:15:00,buy,0.04,1240.18,1228.62,-46.26,-1.04,high,stop_loss
2016-05-24 23:00:00,2016-05-26 14:45:00,buy,0.02,1225.45,1222.28,-6.33,-0.28,med,trail_stop
2016-05-26 16:30:00,2016-05-27 18:30:00,buy,0.02,1219.54,1207.19,-24.69,-1.04,med,stop_loss
2016-05-29 23:00:00,2016-06-01 16:00:00,buy,0.01,1207.24,1206.25,-0.99,-0.08,low,trail_stop
2016-06-09 03:00:00,2016-06-15 11:45:00,buy,0.01,1262.65,1278.23,15.58,1.4,low,trail_stop
2016-06-15 18:00:00,2016-06-16 09:45:00,buy,0.02,1285.22,1301.78,33.11,1.48,med,trail_stop
2016-06-16 16:15:00,2016-06-16 17:45:00,buy,0.02,1301.08,1286.99,-28.19,-1.03,med,stop_loss
2016-06-16 20:45:00,2016-06-19 22:00:00,buy,0.01,1277.69,1281.34,3.65,0.21,low,trail_stop
2016-06-20 00:30:00,2016-06-21 11:00:00,buy,0.01,1285.13,1276.06,-9.07,-0.51,low,trail_stop
2016-06-21 14:15:00,2016-06-24 04:15:00,buy,0.02,1267.2,1339.96,145.52,4.13,med,trail_stop
2016-06-28 03:00:00,2016-07-08 12:30:00,buy,0.01,1318.14,1347.55,29.42,1.09,low,trail_stop
2016-07-10 23:00:00,2016-07-11 12:15:00,buy,0.02,1373.06,1354.22,-37.67,-1.02,high,stop_loss
2016-07-11 17:15:00,2016-07-12 15:15:00,buy,0.02,1355.58,1337.32,-36.51,-1.02,high,stop_loss
2016-07-12 16:15:00,2016-07-14 08:00:00,buy,0.02,1333.26,1329.29,-7.94,-0.23,high,trail_stop
2016-07-14 12:45:00,2016-07-20 10:45:00,buy,0.03,1320.94,1321.74,2.4,0.05,high,trail_stop
