open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2016-01-03 23:00:00,2016-01-04 05:45:00,sell,0.06,1060.99,1068.5,-45.08,-1.04,high,stop_loss
2016-01-04 13:15:00,2016-01-04 15:00:00,sell,0.05,1074.44,1082.77,-41.66,-1.03,high,stop_loss
2016-01-05 03:00:00,2016-01-06 08:45:00,sell,0.05,1075.81,1085.46,-48.23,-1.03,high,stop_loss
2016-01-06 16:15:00,2016-01-07 02:00:00,sell,0.05,1089.83,1099.62,-48.96,-1.03,high,stop_loss
2016-01-07 12:45:00,2016-01-08 00:00:00,sell,0.02,1099.67,1111.28,-23.21,-1.02,med,stop_loss
2016-01-08 14:00:00,2016-01-08 16:15:00,sell,0.01,1098.96,1104.84,-5.88,-0.48,low,trail_stop
2016-01-10 23:00:00,2016-01-13 19:00:00,sell,0.01,1106.85,1093.31,13.54,1.02,low,trail_stop
2016-01-14 06:00:00,2016-01-15 07:15:00,sell,0.01,1091.23,1084.77,6.47,0.49,low,trail_stop
2016-01-15 13:00:00,2016-01-20 12:15:00,sell,0.01,1085.08,1098.15,-13.07,-1.02,low,stop_loss
2016-01-21 03:00:00,2016-01-25 07:30:00,sell,0.01,1098.97,1103.3,-4.32,-0.41,low,trail_stop
2016-02-04 18:00:00,2016-02-08 20:45:00,buy,0.01,1155.45,1189.74,34.3,3.18,low,trail_stop
2016-02-09 07:45:00,2016-02-10 09:30:00,buy,0.01,1188.83,1182.07,-6.76,-0.41,low,trail_stop
2016-02-10 23:00:00,2016-02-11 20:15:00,buy,0.02,1197.56,1247.54,99.96,3.23,med,trail_stop
2016-02-12 10:00:00,2016-02-15 04:30:00,buy,0.01,1238.04,1214.72,-23.32,-1.01,low,stop_loss
2016-02-15 15:15:00,2016-02-17 00:30:00,buy,0.01,1204.48,1195.73,-8.76,-0.42,med,trail_stop
2016-02-17 08:30:00,2016-02-22 03:45:00,buy,0.01,1205.32,1217.46,12.14,0.55,med,trail_stop
2016-02-22 08:15:00,2016-02-24 19:00:00,buy,0.02,1205.77,1234.62,57.7,1.57,med,trail_stop
2016-02-25 06:00:00,2016-02-26 16:00:00,buy,0.01,1234.16,1212.06,-22.1,-1.01,med,stop_loss
2016-02-28 23:00:00,2016-03-02 01:00:00,buy,0.01,1217.12,1225.8,8.68,0.39,med,trail_stop
2016-03-02 14:00:00,2016-03-04 13:30:00,buy,0.02,1232.3,1255.37,46.13,1.21,high,trail_stop
2016-03-07 03:00:00,2016-03-09 01:00:00,buy,0.02,1261.29,1257.81,-6.95,-0.17,high,trail_stop
2016-03-09 11:15:00,2016-03-11 08:45:00,buy,0.02,1254.09,1265.36,22.56,0.61,high,trail_stop
2016-03-11 20:15:00,2016-03-14 18:45:00,buy,0.02,1254.26,1233.77,-40.99,-1.01,high,stop_loss
2016-03-15 01:00:00,2016-03-18 11:45:00,buy,0.02,1231.27,1250.55,38.55,0.96,high,trail_stop
2016-03-20 23:00:00,2016-03-23 04:00:00,buy,0.02,1255.58,1237.72,-35.73,-1.02,med,stop_loss
2016-03-23 12:15:00,2016-03-24 07:00:00,buy,0.03,1227.81,1211.99,-47.46,-1.02,high,stop_loss
2016-03-24 18:00:00,2016-03-30 15:00:00,buy,0.03,1222.17,1227.99,17.47,0.37,high,trail_stop
2016-03-31 03:00:00,2016-04-01 12:30:00,buy,0.02,1226.73,1224.51,-4.45,-0.14,med,trail_stop
2016-04-03 22:00:00,2016-04-06 11:30:00,buy,0.02,1219.84,1221.1,2.54,0.08,med,trail_stop
2016-04-06 16:30:00,2016-04-08 10:00:00,buy,0.02,1223.68,1229.92,12.49,0.48,med,trail_stop
2016-04-10 23:00:00,2016-04-13 05:00:00,buy,0.03,1245.26,1249.01,11.22,0.28,high,trail_stop
2016-04-13 18:00:00,2016-04-14 00:15:00,buy,0.04,1246.92,1234.17,-51.0,-1.02,high,stop_loss
2016-04-14 12:15:00,2016-04-20 19:15:00,buy,0.03,1235.94,1243.91,23.91,0.58,high,trail_stop
2016-04-21 06:00:00,2016-04-21 16:15:00,buy,0.02,1253.5,1255.35,3.71,0.13,med,trail_stop
2016-04-22 00:30:00,2016-04-22 16:45:00,buy,0.02,1245.14,1228.26,-33.75,-1.02,med,stop_loss
2016-04-25 04:00:00,2016-05-03 14:15:00,buy,0.02,1234.05,1286.99,105.88,3.23,med,trail_stop
2016-05-04 01:30:00,2016-05-09 08:15:00,buy,0.03,1282.87,1277.95,-14.75,-0.28,high,trail_stop
2016-05-09 23:00:00,2016-05-12 20:15:00,buy,0.03,1264.72,1266.29,4.71,0.11,high,trail_stop
2016-05-13 10:00:00,2016-05-16 16:30:00,buy,0.03,1273.93,1274.71,2.35,0.06,high,trail_stop
2016-05-17 06:00:00,2016-05-18 18:15:00,buy,0.03,1277.3,1263.49,-41.43,-1.02,high,stop_loss
2016-05-19 01:30:00,2016-05-24 09:45:00,buy,0.03,1256.82,1241.53,-45.86,-1.02,high,stop_loss
2016-05-24 18:15:00,2016-05-26 14:45:00,buy,0.04,1228.32,1223.03,-21.13,-0.49,high,trail_stop
2016-05-27 02:00:00,2016-05-27 15:00:00,buy,0.02,1217.08,1211.38,-11.41,-0.48,med,trail_stop
2016-05-29 23:00:00,2016-06-01 16:00:00,buy,0.01,1207.12,1206.75,-0.37,-0.03,low,trail_stop
2016-06-09 00:30:00,2016-06-15 11:45:00,buy,0.01,1262.2,1278.39,16.19,1.45,low,trail_stop
2016-06-15 23:00:00,2016-06-16 09:45:00,buy,0.03,1292.11,1301.94,29.48,0.88,med,trail_stop
2016-06-16 16:15:00,2016-06-16 17:15:00,buy,0.02,1304.18,1290.26,-27.83,-1.02,med,stop_loss
2016-06-17 01:00:00,2016-06-19 22:00:00,buy,0.01,1277.85,1281.69,3.84,0.22,low,trail_stop
2016-06-20 10:00:00,2016-06-21 11:00:00,buy,0.01,1283.64,1276.21,-7.42,-0.42,low,trail_stop
2016-06-21 19:15:00,2016-06-24 04:15:00,buy,0.02,1265.83,1340.25,148.82,4.23,med,trail_stop
2016-06-28 01:45:00,2016-07-08 12:30:00,buy,0.01,1319.23,1345.63,26.4,0.9,low,trail_stop
2016-07-11 03:00:00,2016-07-11 13:00:00,buy,0.02,1369.58,1350.9,-37.36,-1.01,high,stop_loss
2016-07-12 03:00:00,2016-07-12 15:15:00,buy,0.03,1356.29,1338.19,-54.3,-1.01,high,stop_loss
2016-07-13 01:00:00,2016-07-14 08:00:00,buy,0.03,1327.71,1329.45,5.21,0.1,high,trail_stop
2016-07-14 23:00:00,2016-07-20 12:15:00,buy,0.03,1334.34,1317.61,-50.2,-1.02,high,stop_loss
2016-07-21 03:00:00,2016-07-25 00:30:00,buy,0.03,1314.62,1319.32,14.07,0.33,high,trail_stop
2016-07-25 13:30:00,2016-07-28 17:15:00,buy,0.03,1313.51,1332.21,56.1,1.43,high,trail_stop
2016-07-29 03:30:00,2016-07-29 08:15:00,buy,0.03,1332.96,1330.39,-7.73,-0.2,high,trail_stop
2016-07-31 23:00:00,2016-08-04 02:45:00,buy,0.03,1350.02,1352.8,8.34,0.2,high,trail_stop
2016-08-04 14:00:00,2016-08-05 12:30:00,buy,0.04,1363.89,1352.5,-45.57,-1.02,high,stop_loss
