open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason,risk_frac
2015-12-31 16:00:00,2016-01-04 04:00:00,sell,0.06,1061.24,1068.75,-45.08,-1.04,high,stop_loss,0.015
2016-01-04 08:00:00,2016-01-04 12:00:00,sell,0.05,1071.17,1079.5,-41.63,-1.03,high,stop_loss,0.015
2016-01-04 16:00:00,2016-01-05 08:00:00,sell,0.05,1077.65,1080.91,-16.3,-0.35,high,trail_stop,0.015
2016-01-05 12:00:00,2016-01-06 08:00:00,sell,0.05,1079.55,1084.36,-24.08,-0.52,high,trail_stop,0.015
2016-01-06 12:00:00,2016-01-06 16:00:00,sell,0.05,1084.79,1094.58,-48.96,-1.03,high,stop_loss,0.015
2016-01-06 20:00:00,2016-01-07 12:00:00,sell,0.03,1093.45,1104.6,-33.44,-1.02,med,stop_loss,0.01
2016-01-07 16:00:00,2016-01-08 16:00:00,sell,0.02,1102.51,1104.45,-3.87,-0.16,med,trail_stop,0.01
2016-01-08 20:00:00,2016-01-13 16:00:00,sell,0.01,1102.15,1093.29,8.86,0.67,low,trail_stop,0.005
2016-01-13 20:00:00,2016-01-15 04:00:00,sell,0.01,1093.3,1084.76,8.54,0.65,low,trail_stop,0.005
2016-01-15 08:00:00,2016-01-15 12:00:00,sell,0.01,1084.08,1097.14,-13.06,-1.02,low,stop_loss,0.005
2016-01-15 16:00:00,2016-01-20 08:00:00,sell,0.01,1090.14,1096.64,-6.5,-0.47,low,trail_stop,0.005
2016-01-20 12:00:00,2016-01-20 16:00:00,sell,0.01,1094.84,1105.26,-10.42,-1.02,low,stop_loss,0.005
2016-01-20 20:00:00,2016-01-25 04:00:00,sell,0.01,1103.09,1103.79,-0.69,-0.06,low,trail_stop,0.005
2016-02-04 08:00:00,2016-02-05 12:00:00,buy,0.01,1142.03,1149.61,7.58,0.7,low,trail_stop,0.005
2016-02-05 16:00:00,2016-02-09 04:00:00,buy,0.01,1153.89,1187.86,33.97,2.68,low,trail_stop,0.005
2016-02-09 08:00:00,2016-02-10 08:00:00,buy,0.01,1186.57,1182.55,-4.03,-0.25,low,trail_stop,0.005
2016-02-10 12:00:00,2016-02-11 20:00:00,buy,0.02,1182.6,1247.54,129.89,4.2,med,trail_stop,0.01
2016-02-12 00:00:00,2016-02-15 04:00:00,buy,0.01,1240.48,1217.17,-23.31,-1.01,low,stop_loss,0.005
2016-02-15 08:00:00,2016-02-16 04:00:00,buy,0.01,1212.22,1191.05,-21.17,-1.01,med,stop_loss,0.01
2016-02-16 08:00:00,2016-02-17 00:00:00,buy,0.01,1195.75,1196.16,0.41,0.02,med,trail_stop,0.01
2016-02-17 04:00:00,2016-02-22 00:00:00,buy,0.01,1209.17,1217.46,8.29,0.37,med,trail_stop,0.01
2016-02-22 04:00:00,2016-02-24 16:00:00,buy,0.02,1216.79,1234.64,35.69,0.97,med,trail_stop,0.01
2016-02-24 20:00:00,2016-02-26 12:00:00,buy,0.01,1229.87,1220.83,-9.04,-0.41,med,trail_stop,0.01
2016-02-26 16:00:00,2016-03-02 00:00:00,buy,0.01,1217.22,1226.37,9.15,0.42,med,trail_stop,0.01
2016-03-02 04:00:00,2016-03-04 12:00:00,buy,0.02,1227.97,1255.37,54.8,1.43,high,trail_stop,0.015
2016-03-04 16:00:00,2016-03-09 12:00:00,buy,0.02,1269.1,1248.9,-40.41,-1.01,high,stop_loss,0.015
2016-03-09 16:00:00,2016-03-11 08:00:00,buy,0.02,1253.52,1264.75,22.45,0.59,high,trail_stop,0.015
2016-03-11 12:00:00,2016-03-14 12:00:00,buy,0.02,1264.44,1243.96,-40.96,-1.01,high,stop_loss,0.015
2016-03-14 16:00:00,2016-03-18 08:00:00,buy,0.02,1243.97,1251.41,14.88,0.39,high,trail_stop,0.015
2016-03-18 12:00:00,2016-03-23 00:00:00,buy,0.02,1251.12,1242.39,-17.46,-0.5,med,trail_stop,0.01
2016-03-23 04:00:00,2016-03-23 12:00:00,buy,0.03,1241.9,1226.63,-45.79,-1.02,high,stop_loss,0.015
2016-03-23 16:00:00,2016-03-30 12:00:00,buy,0.03,1223.44,1227.12,11.05,0.22,high,trail_stop,0.015
2016-03-30 16:00:00,2016-04-01 12:00:00,buy,0.02,1226.16,1224.53,-3.26,-0.1,med,trail_stop,0.01
2016-04-01 16:00:00,2016-04-06 08:00:00,buy,0.02,1214.35,1221.1,13.51,0.44,med,trail_stop,0.01
2016-04-06 12:00:00,2016-04-08 08:00:00,buy,0.02,1219.97,1229.92,19.89,0.76,med,trail_stop,0.01
2016-04-08 12:00:00,2016-04-13 04:00:00,buy,0.03,1234.65,1249.0,43.04,1.08,high,trail_stop,0.015
2016-04-13 08:00:00,2016-04-14 00:00:00,buy,0.04,1249.51,1236.78,-50.94,-1.02,high,stop_loss,0.015
2016-04-14 04:00:00,2016-04-14 12:00:00,buy,0.03,1233.03,1230.04,-8.98,-0.22,high,trail_stop,0.015
2016-04-14 16:00:00,2016-04-20 16:00:00,buy,0.02,1226.12,1242.72,33.2,1.11,med,trail_stop,0.01
2016-04-20 20:00:00,2016-04-21 16:00:00,buy,0.02,1245.16,1255.34,20.37,0.7,med,trail_stop,0.01
2016-04-21 20:00:00,2016-04-22 16:00:00,buy,0.02,1249.97,1233.1,-33.74,-1.02,med,stop_loss,0.01
2016-04-22 20:00:00,2016-05-03 12:00:00,buy,0.02,1233.77,1287.0,106.44,3.24,med,trail_stop,0.01
2016-05-03 16:00:00,2016-05-09 08:00:00,buy,0.03,1285.81,1277.96,-23.55,-0.45,high,trail_stop,0.015
2016-05-09 12:00:00,2016-05-10 12:00:00,buy,0.03,1272.92,1258.36,-43.68,-1.02,high,stop_loss,0.015
2016-05-10 16:00:00,2016-05-12 20:00:00,buy,0.03,1259.31,1266.8,22.47,0.54,high,trail_stop,0.015
2016-05-13 00:00:00,2016-05-16 16:00:00,buy,0.03,1267.0,1274.7,23.09,0.56,high,trail_stop,0.015
2016-05-16 20:00:00,2016-05-18 12:00:00,buy,0.03,1274.81,1268.41,-19.2,-0.47,high,trail_stop,0.015
2016-05-18 16:00:00,2016-05-18 16:00:00,buy,0.03,1273.44,1259.9,-40.61,-1.02,high,stop_loss,0.015
2016-05-18 20:00:00,2016-05-24 04:00:00,buy,0.03,1257.36,1242.07,-45.86,-1.02,high,stop_loss,0.015
2016-05-24 08:00:00,2016-05-24 12:00:00,buy,0.04,1242.92,1231.52,-45.62,-1.02,high,stop_loss,0.015
2016-05-24 16:00:00,2016-05-25 12:00:00,buy,0.02,1231.12,1219.16,-23.93,-1.02,med,stop_loss,0.01
2016-05-25 16:00:00,2016-05-26 12:00:00,buy,0.02,1222.1,1222.46,0.72,0.03,med,trail_stop,0.01
2016-05-26 16:00:00,2016-05-27 12:00:00,buy,0.02,1222.46,1210.31,-24.29,-1.02,med,stop_loss,0.01
2016-05-27 16:00:00,2016-05-30 00:00:00,buy,0.01,1214.56,1201.41,-13.15,-1.02,low,stop_loss,0.005
2016-05-30 04:00:00,2016-06-01 16:00:00,buy,0.01,1202.89,1207.04,4.15,0.32,low,trail_stop,0.005
2016-06-08 20:00:00,2016-06-15 08:00:00,buy,0.01,1262.36,1278.38,16.02,1.44,low,trail_stop,0.005
2016-06-15 12:00:00,2016-06-16 08:00:00,buy,0.03,1279.17,1301.94,68.3,2.03,med,trail_stop,0.01
2016-06-16 12:00:00,2016-06-16 16:00:00,buy,0.02,1304.41,1301.62,-5.59,-0.21,med,trail_stop,0.01
2016-06-16 20:00:00,2016-06-19 20:00:00,buy,0.01,1281.83,1281.83,-0.0,-0.0,low,trail_stop,0.005
2016-06-20 00:00:00,2016-06-21 08:00:00,buy,0.01,1289.46,1271.48,-17.97,-1.01,low,stop_loss,0.005
2016-06-21 12:00:00,2016-06-23 20:00:00,buy,0.02,1271.53,1253.58,-35.89,-1.02,med,stop_loss,0.01
2016-06-24 00:00:00,2016-06-24 04:00:00,buy,0.02,1267.59,1339.74,144.31,3.97,med,trail_stop,0.01
2016-06-27 16:00:00,2016-07-08 12:00:00,buy,0.01,1319.81,1345.64,25.83,0.89,low,trail_stop,0.005
2016-07-08 16:00:00,2016-07-11 08:00:00,buy,0.02,1353.1,1356.34,6.48,0.18,high,trail_stop,0.015
2016-07-11 12:00:00,2016-07-12 12:00:00,buy,0.03,1357.6,1339.52,-54.25,-1.01,high,stop_loss,0.015
2016-07-12 16:00:00,2016-07-14 08:00:00,buy,0.03,1337.54,1329.45,-24.26,-0.47,high,trail_stop,0.015
2016-07-14 12:00:00,2016-07-20 08:00:00,buy,0.03,1325.0,1321.9,-9.3,-0.19,high,trail_stop,0.015
2016-07-20 12:00:00,2016-07-25 00:00:00,buy,0.03,1318.52,1319.37,2.53,0.06,high,trail_stop,0.015
2016-07-25 04:00:00,2016-07-28 16:00:00,buy,0.03,1317.3,1332.22,44.75,1.14,high,trail_stop,0.015
2016-07-28 20:00:00,2016-08-04 00:00:00,buy,0.03,1337.29,1353.82,49.59,1.26,high,trail_stop,0.015
2016-08-04 04:00:00,2016-08-05 12:00:00,buy,0.04,1352.16,1353.58,5.67,0.13,high,trail_stop,0.015
2016-08-05 16:00:00,2016-08-11 00:00:00,buy,0.02,1339.6,1343.71,8.24,0.31,med,trail_stop,0.01
2016-08-11 04:00:00,2016-08-11 16:00:00,buy,0.04,1342.6,1341.52,-4.35,-0.09,high,trail_stop,0.015
2016-08-11 20:00:00,2016-08-12 16:00:00,buy,0.04,1338.13,1343.15,20.08,0.39,high,trail_stop,0.015
2016-08-12 20:00:00,2016-08-17 04:00:00,buy,0.02,1335.12,1342.24,14.25,0.46,med,trail_stop,0.01
2016-08-17 08:00:00,2016-08-19 08:00:00,buy,0.04,1344.76,1343.19,-6.28,-0.12,high,trail_stop,0.015
2016-08-19 12:00:00,2016-08-22 00:00:00,buy,0.04,1343.61,1331.65,-47.83,-1.02,high,stop_loss,0.015
2016-08-22 04:00:00,2016-08-24 12:00:00,buy,0.04,1333.98,1332.72,-5.06,-0.11,high,trail_stop,0.015
2016-08-24 16:00:00,2016-08-26 16:00:00,buy,0.04,1326.36,1331.22,19.43,0.46,high,trail_stop,0.015
2016-08-26 20:00:00,2016-08-30 16:00:00,buy,0.04,1321.2,1309.51,-46.77,-1.02,high,stop_loss,0.015
2016-08-30 20:00:00,2016-09-02 16:00:00,buy,0.03,1311.11,1319.73,25.86,0.85,med,trail_stop,0.01
2016-09-02 20:00:00,2016-09-08 12:00:00,buy,0.02,1326.26,1339.35,26.18,1.01,med,trail_stop,0.01
2016-09-08 16:00:00,2016-09-09 16:00:00,buy,0.03,1339.89,1329.04,-32.56,-1.02,med,stop_loss,0.01
2016-09-09 20:00:00,2016-09-13 16:00:00,buy,0.03,1328.79,1318.39,-31.21,-1.02,med,stop_loss,0.01
2016-09-13 20:00:00,2016-09-15 12:00:00,buy,0.03,1318.36,1315.15,-9.6,-0.3,med,trail_stop,0.01
2016-09-15 16:00:00,2016-09-16 12:00:00,buy,0.03,1319.52,1307.8,-35.16,-1.02,med,stop_loss,0.01
2016-09-16 16:00:00,2016-09-27 12:00:00,buy,0.03,1308.67,1332.23,70.67,2.11,med,trail_stop,0.01
2016-09-27 16:00:00,2016-09-29 12:00:00,buy,0.03,1327.11,1316.92,-30.56,-1.03,med,stop_loss,0.01
2016-09-29 16:00:00,2016-09-30 12:00:00,buy,0.03,1318.03,1318.42,1.16,0.04,med,trail_stop,0.01
2016-09-30 16:00:00,2016-10-03 16:00:00,buy,0.01,1319.76,1309.58,-10.18,-1.03,low,stop_loss,0.005
2016-10-03 20:00:00,2016-10-04 12:00:00,buy,0.02,1313.53,1303.94,-19.18,-1.03,low,stop_loss,0.005
2016-10-11 16:00:00,2016-10-13 00:00:00,sell,0.01,1257.1,1261.86,-4.76,-0.4,low,trail_stop,0.005
2016-10-13 04:00:00,2016-10-18 00:00:00,sell,0.01,1260.03,1257.83,2.2,0.19,low,trail_stop,0.005
2016-10-18 04:00:00,2016-10-19 08:00:00,sell,0.02,1258.46,1268.04,-19.16,-1.03,low,stop_loss,0.005
2016-10-19 12:00:00,2016-10-24 12:00:00,sell,0.02,1270.15,1270.65,-1.0,-0.05,low,trail_stop,0.005
2016-10-24 16:00:00,2016-10-25 12:00:00,sell,0.02,1262.51,1271.73,-18.43,-1.03,low,stop_loss,0.005
2016-10-25 16:00:00,2016-10-28 12:00:00,sell,0.02,1272.63,1273.48,-1.7,-0.1,low,trail_stop,0.005
2016-10-28 16:00:00,2016-10-28 16:00:00,sell,0.02,1267.36,1276.6,-18.48,-1.03,low,stop_loss,0.005
2016-10-28 20:00:00,2016-11-01 08:00:00,sell,0.01,1274.55,1285.54,-10.99,-1.02,low,stop_loss,0.005
2016-11-01 12:00:00,2016-11-02 08:00:00,sell,0.01,1286.36,1296.5,-10.14,-1.03,low,stop_loss,0.005
2016-11-17 00:00:00,2016-11-25 08:00:00,sell,0.01,1226.47,1189.6,36.87,1.99,low,trail_stop,0.005
2016-11-25 12:00:00,2016-11-28 00:00:00,sell,0.02,1187.63,1194.81,-14.35,-0.45,med,trail_stop,0.01
2016-11-28 04:00:00,2016-12-02 00:00:00,sell,0.02,1191.37,1176.62,29.5,0.94,med,trail_stop,0.01
2016-12-02 04:00:00,2016-12-04 20:00:00,sell,0.03,1174.44,1181.27,-20.49,-0.48,high,trail_stop,0.015
2016-12-05 00:00:00,2016-12-05 16:00:00,sell,0.03,1179.92,1171.81,24.31,0.57,high,trail_stop,0.015
2016-12-05 20:00:00,2016-12-16 16:00:00,sell,0.03,1170.46,1139.83,91.89,1.83,high,trail_stop,0.015
2016-12-16 20:00:00,2016-12-27 04:00:00,sell,0.03,1134.06,1140.01,-17.85,-0.42,high,trail_stop,0.015
2016-12-27 08:00:00,2016-12-29 00:00:00,sell,0.05,1143.38,1145.69,-11.55,-0.24,high,trail_stop,0.015
2016-12-29 04:00:00,2016-12-29 16:00:00,sell,0.05,1148.24,1157.39,-45.74,-1.03,high,stop_loss,0.015
2016-12-29 20:00:00,2017-01-03 12:00:00,sell,0.04,1155.16,1156.17,-4.05,-0.1,high,trail_stop,0.015
2017-01-03 16:00:00,2017-01-04 08:00:00,sell,0.04,1154.67,1166.31,-46.55,-1.02,high,stop_loss,0.015
2017-01-04 12:00:00,2017-01-05 04:00:00,sell,0.04,1165.05,1176.83,-47.13,-1.02,high,stop_loss,0.015
2017-01-05 08:00:00,2017-01-05 16:00:00,sell,0.04,1177.19,1182.45,-21.05,-0.45,high,trail_stop,0.015
2017-01-05 20:00:00,2017-01-09 16:00:00,sell,0.03,1180.55,1183.93,-10.13,-0.26,high,trail_stop,0.015
2017-01-09 20:00:00,2017-01-11 16:00:00,sell,0.04,1183.76,1188.48,-18.88,-0.42,high,trail_stop,0.015
2017-01-11 20:00:00,2017-01-12 08:00:00,sell,0.02,1191.49,1205.1,-27.22,-1.02,med,stop_loss,0.01
2017-01-12 12:00:00,2017-01-15 20:00:00,sell,0.02,1204.53,1200.96,7.14,0.28,med,trail_stop,0.01
2017-01-16 00:00:00,2017-01-17 08:00:00,sell,0.01,1203.14,1216.12,-12.98,-1.02,low,stop_loss,0.005
2017-01-17 12:00:00,2017-01-20 00:00:00,sell,0.01,1215.22,1207.01,8.21,0.75,low,trail_stop,0.005
2017-01-20 04:00:00,2017-01-20 16:00:00,sell,0.01,1207.82,1210.64,-2.82,-0.24,low,trail_stop,0.005
2017-01-27 12:00:00,2017-01-30 00:00:00,sell,0.01,1184.28,1195.1,-10.82,-1.02,low,stop_loss,0.005
2017-01-30 04:00:00,2017-01-30 12:00:00,sell,0.01,1193.74,1198.38,-4.64,-0.47,low,trail_stop,0.005
2017-01-30 16:00:00,2017-01-31 12:00:00,sell,0.01,1197.93,1208.4,-10.47,-1.02,low,stop_loss,0.005
2017-02-22 08:00:00,2017-02-22 16:00:00,buy,0.02,1234.75,1231.99,-5.52,-0.34,low,trail_stop,0.005
2017-02-23 04:00:00,2017-02-27 20:00:00,buy,0.02,1236.94,1254.83,35.79,2.06,low,trail_stop,0.005
2017-02-28 00:00:00,2017-02-28 20:00:00,buy,0.01,1253.6,1248.74,-4.85,-0.52,low,trail_stop,0.005
2017-03-01 00:00:00,2017-03-02 12:00:00,buy,0.01,1246.17,1236.07,-10.09,-1.03,low,stop_loss,0.005
2017-03-02 16:00:00,2017-03-02 16:00:00,buy,0.01,1241.59,1231.46,-10.13,-1.03,low,stop_loss,0.005
2017-03-02 20:00:00,2017-03-03 16:00:00,buy,0.01,1233.66,1222.64,-11.03,-1.02,low,stop_loss,0.005
2017-03-28 16:00:00,2017-03-30 12:00:00,buy,0.02,1255.07,1245.96,-18.22,-1.03,low,stop_loss,0.005
2017-03-30 16:00:00,2017-03-31 00:00:00,buy,0.02,1248.85,1240.37,-16.95,-1.03,low,stop_loss,0.005
2017-03-31 04:00:00,2017-04-05 08:00:00,buy,0.02,1241.41,1252.58,22.35,1.33,low,trail_stop,0.005
2017-04-05 12:00:00,2017-04-05 12:00:00,buy,0.02,1252.75,1245.21,-15.08,-1.03,low,stop_loss,0.005
2017-04-05 16:00:00,2017-04-06 12:00:00,buy,0.02,1248.48,1250.43,3.91,0.24,low,trail_stop,0.005
2017-04-06 16:00:00,2017-04-07 16:00:00,buy,0.02,1251.9,1261.38,18.95,1.06,low,trail_stop,0.005
2017-04-07 20:00:00,2017-04-17 16:00:00,buy,0.01,1254.81,1283.32,28.52,2.41,low,trail_stop,0.005
2017-04-17 20:00:00,2017-04-19 08:00:00,buy,0.01,1284.06,1281.04,-3.02,-0.27,low,trail_stop,0.005
2017-04-19 12:00:00,2017-04-23 20:00:00,buy,0.03,1282.22,1278.12,-12.31,-0.42,med,trail_stop,0.01
2017-04-24 00:00:00,2017-04-25 16:00:00,buy,0.02,1274.43,1262.98,-22.91,-1.02,med,stop_loss,0.01
2017-04-25 20:00:00,2017-05-01 12:00:00,buy,0.03,1264.0,1260.56,-10.3,-0.33,med,trail_stop,0.01
2017-05-01 16:00:00,2017-05-03 12:00:00,buy,0.03,1260.18,1251.34,-26.52,-1.03,med,stop_loss,0.01
2017-05-03 16:00:00,2017-05-03 16:00:00,buy,0.04,1248.88,1241.05,-31.33,-1.03,med,stop_loss,0.01
2017-05-03 20:00:00,2017-05-04 12:00:00,buy,0.01,1239.82,1230.51,-9.31,-1.03,low,stop_loss,0.005
2017-05-04 16:00:00,2017-05-07 20:00:00,buy,0.01,1227.88,1225.57,-2.31,-0.24,low,trail_stop,0.005
2017-05-26 20:00:00,2017-06-01 12:00:00,buy,0.01,1267.48,1264.85,-2.63,-0.29,low,trail_stop,0.005
2017-06-01 16:00:00,2017-06-02 00:00:00,buy,0.02,1264.07,1260.93,-6.28,-0.41,low,trail_stop,0.005
