name,sharpe_full,dd_full,cagr_full,sharpe_eval,dd_eval,cagr_eval,turnover_yr,avg_abs_pos,params
d1-ewmac-vfast,0.002,-35.6,0.4,-0.071,-35.6,0.7,41.6,0.68,"{""speeds"": [[2, 8], [4, 16], [8, 32]], ""tf"": ""D1""}"
h4-ewmac-vfast,0.442,-30.7,6.9,0.442,-30.7,7.8,74.8,0.86,"{""speeds"": [[12, 48], [24, 96], [48, 192]], ""tf"": ""H4""}"
d1-ewmac-fast,0.322,-42.4,5.0,0.301,-35.4,6.5,10.6,0.68,"{""speeds"": [[8, 32], [16, 64], [32, 128], [64, 256]], ""tf"": ""D1""}"
h4-ewmac-fast,0.582,-33.5,9.5,0.693,-33.5,12.3,41.2,0.81,"{""speeds"": [[48, 192], [96, 384], [192, 768], [384, 1536]], ""tf"": ""H4""}"
d1-ewmac-mid,0.361,-43.2,5.9,0.362,-34.8,7.5,8.0,0.72,"{""speeds"": [[16, 64], [32, 128], [64, 256]], ""tf"": ""D1""}"
h4-ewmac-mid,0.584,-33.9,9.8,0.723,-33.9,13.1,40.0,0.86,"{""speeds"": [[96, 384], [192, 768], [384, 1536]], ""tf"": ""H4""}"
d1-ewmac-slow,0.413,-42.0,6.9,0.442,-32.7,8.8,6.5,0.74,"{""speeds"": [[32, 128], [64, 256]], ""tf"": ""D1""}"
h4-ewmac-slow,0.544,-34.1,9.3,0.711,-34.1,12.9,39.0,0.9,"{""speeds"": [[192, 768], [384, 1536]], ""tf"": ""H4""}"
d1-ewmac-all6,0.226,-36.4,3.6,0.181,-33.8,4.6,23.6,0.62,"{""speeds"": [[2, 8], [4, 16], [8, 32], [16, 64], [32, 128], [64, 256]], ""tf"": ""D1""}"
h4-ewmac-all6,0.588,-29.8,9.0,0.653,-29.8,11.0,52.1,0.74,"{""speeds"": [[12, 48], [24, 96], [48, 192], [96, 384], [192, 768], [384, 1536]], ""tf"": ""H4""}"
d1-ewmac-fast-buf0.3,0.292,-44.2,4.6,0.256,-34.5,5.7,5.1,0.66,"{""speeds"": [[8, 32], [16, 64], [32, 128], [64, 256]], ""buffer"": 0.3}"
d1-ewmac-fast-buf0.6,0.292,-43.5,4.2,0.319,-30.6,5.6,3.2,0.61,"{""speeds"": [[8, 32], [16, 64], [32, 128], [64, 256]], ""buffer"": 0.6}"
