open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-02-04 08:00:00,sell,0.04,1061.23,1142.05,-323.28,-11.14,high,flip
2016-02-04 08:00:00,2016-10-11 16:00:00,buy,0.02,1142.05,1257.08,230.06,10.66,low,flip
2016-10-11 16:00:00,2017-02-22 08:00:00,sell,0.02,1257.08,1234.77,44.62,1.88,low,flip
2017-02-22 08:00:00,2017-07-06 20:00:00,buy,0.04,1234.77,1224.37,-41.6,-1.29,low,flip
2017-07-06 20:00:00,2017-08-02 08:00:00,sell,0.03,1224.37,1267.0,-127.89,-4.96,low,flip
2017-08-02 08:00:00,2017-12-12 04:00:00,buy,0.03,1267.0,1243.92,-69.23,-2.63,low,flip
2017-12-12 04:00:00,2018-01-02 04:00:00,sell,0.04,1243.92,1306.71,-251.15,-8.37,low,flip
2018-01-02 04:00:00,2018-05-22 00:00:00,buy,0.04,1306.71,1292.17,-58.14,-2.21,low,flip
2018-05-22 00:00:00,2018-12-24 12:00:00,sell,0.03,1292.17,1261.2,92.93,3.9,low,flip
2018-12-24 12:00:00,2021-02-18 20:00:00,buy,0.03,1261.2,1774.94,1541.24,54.33,low,flip
2021-02-18 20:00:00,2021-05-11 08:00:00,sell,0.02,1774.94,1835.32,-120.77,-2.85,low,flip
2021-05-11 08:00:00,2021-06-29 12:00:00,buy,0.03,1835.32,1770.11,-195.64,-4.25,low,flip
2021-06-29 12:00:00,2021-11-12 00:00:00,sell,0.03,1770.11,1862.48,-277.11,-6.54,low,flip
2021-11-12 00:00:00,2022-05-16 00:00:00,buy,0.02,1862.48,1812.73,-99.51,-2.69,low,flip
2022-05-16 00:00:00,2022-12-05 00:00:00,sell,0.02,1812.73,1799.09,27.28,0.66,low,flip
2022-12-05 00:00:00,2023-08-18 16:00:00,buy,0.02,1799.09,1890.94,183.7,5.11,low,flip
2023-08-18 16:00:00,2023-10-24 00:00:00,sell,0.03,1890.94,1973.74,-248.4,-7.15,low,flip
2023-10-24 00:00:00,2026-06-10 16:00:00,buy,0.02,1973.74,4128.28,4309.08,107.44,low,flip
2026-06-10 16:00:00,2026-06-15 16:00:00,sell,0.01,4128.28,4325.46,-197.18,-2.16,low,eod_mark
