open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-02-10 12:00:00,sell,0.04,1061.23,1182.62,-485.57,-16.74,high,flip
2016-02-10 12:00:00,2016-11-22 04:00:00,buy,0.02,1182.62,1217.63,70.01,2.26,med,flip
2016-11-22 04:00:00,2017-04-18 04:00:00,sell,0.02,1217.63,1283.77,-132.28,-4.81,med,flip
2017-04-18 04:00:00,2018-06-22 16:00:00,buy,0.02,1283.77,1268.23,-31.08,-1.5,med,flip
2018-06-22 16:00:00,2018-12-31 20:00:00,sell,0.03,1268.23,1281.72,-40.49,-1.78,med,flip
2018-12-31 20:00:00,2021-03-04 00:00:00,buy,0.03,1281.72,1710.06,1285.01,48.49,med,flip
2021-03-04 00:00:00,2021-05-19 04:00:00,sell,0.01,1710.06,1868.86,-158.81,-5.94,med,flip
2021-05-19 04:00:00,2022-07-08 08:00:00,buy,0.02,1868.86,1736.15,-265.43,-8.86,med,flip
2022-07-08 08:00:00,2022-12-21 16:00:00,sell,0.02,1736.15,1817.96,-163.63,-4.57,med,flip
2022-12-21 16:00:00,2023-10-03 04:00:00,buy,0.02,1817.96,1820.18,4.43,0.14,med,flip
2023-10-03 04:00:00,2023-10-27 04:00:00,sell,0.02,1820.18,1988.16,-335.97,-10.49,med,flip
2023-10-27 04:00:00,2026-06-15 16:00:00,buy,0.01,1988.16,4325.46,2337.29,127.52,med,eod_mark
