open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-01-04 04:00:00,sell,0.06,1061.06,1068.75,-46.16,-1.06,high,stop_loss
2016-01-04 08:00:00,2016-01-04 12:00:00,sell,0.05,1070.98,1079.5,-42.58,-1.05,high,stop_loss
2016-01-04 16:00:00,2016-01-05 08:00:00,sell,0.05,1077.47,1081.1,-18.15,-0.39,high,trail_stop
2016-01-05 12:00:00,2016-01-06 12:00:00,sell,0.05,1079.36,1088.98,-48.13,-1.05,high,stop_loss
2016-01-06 16:00:00,2016-01-07 00:00:00,sell,0.04,1087.16,1098.15,-43.95,-1.04,high,stop_loss
2016-01-07 04:00:00,2016-01-07 16:00:00,sell,0.02,1097.32,1109.09,-23.55,-1.04,med,stop_loss
2016-01-07 20:00:00,2016-01-08 16:00:00,sell,0.02,1109.37,1104.78,9.17,0.38,med,trail_stop
2016-01-08 20:00:00,2016-01-13 16:00:00,sell,0.01,1101.96,1093.47,8.49,0.64,low,trail_stop
2016-01-13 20:00:00,2016-01-15 04:00:00,sell,0.01,1093.11,1084.95,8.16,0.62,low,trail_stop
2016-01-15 08:00:00,2016-01-15 12:00:00,sell,0.01,1083.89,1097.14,-13.25,-1.03,low,stop_loss
2016-01-15 16:00:00,2016-01-20 08:00:00,sell,0.01,1089.96,1096.83,-6.87,-0.49,low,trail_stop
2016-01-20 12:00:00,2016-01-20 16:00:00,sell,0.01,1094.65,1105.26,-10.61,-1.04,low,stop_loss
2016-01-20 20:00:00,2016-01-25 04:00:00,sell,0.01,1102.92,1103.98,-1.06,-0.09,low,trail_stop
2016-02-04 08:00:00,2016-02-05 12:00:00,buy,0.01,1142.22,1149.42,7.2,0.67,low,trail_stop
2016-02-05 16:00:00,2016-02-09 04:00:00,buy,0.01,1154.08,1187.69,33.61,2.65,low,trail_stop
2016-02-09 08:00:00,2016-02-10 08:00:00,buy,0.01,1186.76,1182.36,-4.4,-0.27,low,trail_stop
