open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 20:00:00,2016-01-04 04:00:00,sell,0.06,1059.1,1066.63,-45.14,-1.04,high,stop_loss
2016-01-04 12:00:00,2016-01-04 12:00:00,sell,0.05,1072.31,1080.69,-41.92,-1.03,high,stop_loss
2016-01-04 20:00:00,2016-01-06 08:00:00,sell,0.04,1074.83,1084.89,-40.22,-1.03,high,stop_loss
2016-01-06 16:00:00,2016-01-07 00:00:00,sell,0.04,1087.33,1098.15,-43.27,-1.03,high,stop_loss
2016-01-07 08:00:00,2016-01-07 16:00:00,sell,0.03,1096.72,1108.14,-34.26,-1.02,med,stop_loss
2016-01-08 00:00:00,2016-01-08 16:00:00,sell,0.02,1108.93,1104.01,9.83,0.43,med,trail_stop
2016-01-10 20:00:00,2016-01-13 16:00:00,sell,0.01,1103.43,1092.74,10.69,0.84,low,trail_stop
2016-01-14 00:00:00,2016-01-15 04:00:00,sell,0.01,1094.66,1084.32,10.34,0.82,low,trail_stop
2016-01-15 12:00:00,2016-01-15 12:00:00,sell,0.01,1081.76,1094.64,-12.88,-1.02,low,stop_loss
2016-01-15 20:00:00,2016-01-20 12:00:00,sell,0.01,1088.16,1102.31,-14.15,-1.02,low,stop_loss
2016-01-20 20:00:00,2016-01-25 04:00:00,sell,0.01,1103.09,1103.81,-0.71,-0.06,low,trail_stop
2016-02-04 12:00:00,2016-02-05 12:00:00,buy,0.01,1145.45,1149.52,4.07,0.37,low,trail_stop
2016-02-05 20:00:00,2016-02-09 04:00:00,buy,0.01,1162.68,1187.47,24.79,1.9,low,trail_stop
2016-02-09 12:00:00,2016-02-11 20:00:00,buy,0.01,1191.52,1246.77,55.25,3.4,low,trail_stop
2016-02-12 04:00:00,2016-02-15 00:00:00,buy,0.01,1233.71,1222.95,-10.76,-0.47,low,trail_stop
2016-02-15 08:00:00,2016-02-16 04:00:00,buy,0.01,1212.24,1191.05,-21.19,-1.01,med,stop_loss
2016-02-16 12:00:00,2016-02-22 00:00:00,buy,0.01,1215.16,1217.39,2.23,0.1,med,trail_stop
