open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-01-04 04:00:00,sell,0.06,1061.23,1068.75,-45.14,-1.04,high,stop_loss
2016-01-04 08:00:00,2016-01-04 12:00:00,sell,0.05,1071.15,1079.5,-41.73,-1.03,high,stop_loss
2016-01-04 16:00:00,2016-01-05 08:00:00,sell,0.05,1077.64,1080.93,-16.45,-0.35,high,trail_stop
2016-01-05 12:00:00,2016-01-06 08:00:00,sell,0.05,1079.53,1084.38,-24.28,-0.53,high,trail_stop
2016-01-06 12:00:00,2016-01-06 16:00:00,sell,0.05,1084.77,1094.57,-48.99,-1.03,high,stop_loss
2016-01-06 20:00:00,2016-01-07 12:00:00,sell,0.03,1093.45,1104.62,-33.5,-1.02,med,stop_loss
2016-01-07 16:00:00,2016-01-08 16:00:00,sell,0.02,1102.5,1104.46,-3.91,-0.16,med,trail_stop
2016-01-08 20:00:00,2016-01-13 16:00:00,sell,0.01,1102.15,1093.3,8.85,0.67,low,trail_stop
2016-01-13 20:00:00,2016-01-15 04:00:00,sell,0.01,1093.3,1084.78,8.52,0.65,low,trail_stop
2016-01-15 08:00:00,2016-01-15 12:00:00,sell,0.01,1084.06,1097.14,-13.08,-1.02,low,stop_loss
2016-01-15 16:00:00,2016-01-20 08:00:00,sell,0.01,1090.13,1096.66,-6.53,-0.47,low,trail_stop
2016-01-20 12:00:00,2016-01-20 16:00:00,sell,0.01,1094.82,1105.26,-10.44,-1.03,low,stop_loss
2016-01-20 20:00:00,2016-01-25 04:00:00,sell,0.01,1103.09,1103.81,-0.71,-0.06,low,trail_stop
2016-02-04 08:00:00,2016-02-05 12:00:00,buy,0.01,1142.05,1149.59,7.54,0.7,low,trail_stop
2016-02-05 16:00:00,2016-02-09 04:00:00,buy,0.01,1153.91,1187.86,33.95,2.68,low,trail_stop
2016-02-09 08:00:00,2016-02-10 08:00:00,buy,0.01,1186.59,1182.53,-4.06,-0.25,low,trail_stop
2016-02-10 12:00:00,2016-02-11 20:00:00,buy,0.02,1182.62,1247.54,129.85,4.2,med,trail_stop
2016-02-12 00:00:00,2016-02-15 04:00:00,buy,0.01,1240.48,1217.17,-23.31,-1.01,low,stop_loss
2016-02-15 08:00:00,2016-02-16 04:00:00,buy,0.01,1212.24,1191.05,-21.19,-1.01,med,stop_loss
2016-02-16 08:00:00,2016-02-17 00:00:00,buy,0.01,1195.77,1196.16,0.39,0.02,med,trail_stop
2016-02-17 04:00:00,2016-02-22 00:00:00,buy,0.01,1209.18,1217.46,8.28,0.37,med,trail_stop
2016-02-22 04:00:00,2016-02-24 16:00:00,buy,0.02,1216.81,1234.62,35.62,0.97,med,trail_stop
2016-02-24 20:00:00,2016-02-26 12:00:00,buy,0.01,1229.87,1220.81,-9.06,-0.41,med,trail_stop
2016-02-26 16:00:00,2016-03-02 00:00:00,buy,0.01,1217.24,1226.37,9.13,0.42,med,trail_stop
2016-03-02 04:00:00,2016-03-04 12:00:00,buy,0.02,1227.98,1255.35,54.75,1.43,high,trail_stop
2016-03-04 16:00:00,2016-03-09 12:00:00,buy,0.02,1269.12,1248.9,-40.44,-1.01,high,stop_loss
2016-03-09 16:00:00,2016-03-11 08:00:00,buy,0.02,1253.53,1264.74,22.42,0.58,high,trail_stop
2016-03-11 12:00:00,2016-03-14 12:00:00,buy,0.02,1264.44,1243.94,-41.0,-1.01,high,stop_loss
2016-03-14 16:00:00,2016-03-18 08:00:00,buy,0.02,1243.99,1251.4,14.82,0.39,high,trail_stop
2016-03-18 12:00:00,2016-03-23 00:00:00,buy,0.02,1251.14,1242.39,-17.51,-0.5,med,trail_stop
2016-03-23 04:00:00,2016-03-23 12:00:00,buy,0.03,1241.9,1226.62,-45.85,-1.02,high,stop_loss
2016-03-23 16:00:00,2016-03-30 12:00:00,buy,0.03,1223.46,1227.1,10.93,0.22,high,trail_stop
2016-03-30 16:00:00,2016-04-01 12:00:00,buy,0.02,1226.17,1224.51,-3.31,-0.11,med,trail_stop
2016-04-01 16:00:00,2016-04-06 08:00:00,buy,0.02,1214.36,1221.09,13.46,0.44,med,trail_stop
2016-04-06 12:00:00,2016-04-08 08:00:00,buy,0.02,1219.99,1229.9,19.82,0.76,med,trail_stop
2016-04-08 12:00:00,2016-04-13 04:00:00,buy,0.03,1234.67,1249.0,42.98,1.08,high,trail_stop
2016-04-13 08:00:00,2016-04-14 00:00:00,buy,0.04,1249.52,1236.79,-50.94,-1.02,high,stop_loss
2016-04-14 04:00:00,2016-04-14 12:00:00,buy,0.03,1233.03,1230.02,-9.03,-0.22,high,trail_stop
2016-04-14 16:00:00,2016-04-20 16:00:00,buy,0.02,1226.13,1242.7,33.15,1.11,med,trail_stop
2016-04-20 20:00:00,2016-04-21 16:00:00,buy,0.02,1245.16,1255.34,20.37,0.7,med,trail_stop
2016-04-21 20:00:00,2016-04-22 16:00:00,buy,0.02,1249.97,1233.09,-33.75,-1.02,med,stop_loss
2016-04-22 20:00:00,2016-05-03 12:00:00,buy,0.02,1233.77,1286.98,106.4,3.24,med,trail_stop
2016-05-03 16:00:00,2016-05-09 08:00:00,buy,0.03,1285.82,1277.95,-23.63,-0.46,high,trail_stop
2016-05-09 12:00:00,2016-05-10 12:00:00,buy,0.03,1272.94,1258.37,-43.71,-1.02,high,stop_loss
2016-05-10 16:00:00,2016-05-12 20:00:00,buy,0.03,1259.31,1266.8,22.47,0.54,high,trail_stop
2016-05-13 00:00:00,2016-05-16 16:00:00,buy,0.03,1267.0,1274.7,23.09,0.56,high,trail_stop
2016-05-16 20:00:00,2016-05-18 12:00:00,buy,0.03,1274.81,1268.4,-19.24,-0.47,high,trail_stop
2016-05-18 16:00:00,2016-05-18 16:00:00,buy,0.03,1273.44,1259.9,-40.61,-1.02,high,stop_loss
2016-05-18 20:00:00,2016-05-24 04:00:00,buy,0.03,1257.36,1242.07,-45.86,-1.02,high,stop_loss
2016-05-24 08:00:00,2016-05-24 12:00:00,buy,0.04,1242.93,1231.51,-45.7,-1.02,high,stop_loss
