open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-02-04 08:00:00,sell,0.04,1061.24,1142.03,-323.16,-11.14,high,flip
2016-02-04 08:00:00,2016-10-11 16:00:00,buy,0.02,1142.03,1257.1,230.14,10.66,low,flip
2016-10-11 16:00:00,2017-02-22 08:00:00,sell,0.02,1257.1,1234.75,44.7,1.88,low,flip
2017-02-22 08:00:00,2017-07-06 20:00:00,buy,0.04,1234.75,1224.39,-41.44,-1.28,low,flip
2017-07-06 20:00:00,2017-08-02 08:00:00,sell,0.03,1224.39,1266.98,-127.77,-4.96,low,flip
2017-08-02 08:00:00,2017-12-12 04:00:00,buy,0.03,1266.98,1243.94,-69.11,-2.62,low,flip
2017-12-12 04:00:00,2018-01-02 04:00:00,sell,0.04,1243.94,1306.69,-250.99,-8.37,low,flip
2018-01-02 04:00:00,2018-05-22 00:00:00,buy,0.04,1306.69,1292.19,-57.98,-2.21,low,flip
2018-05-22 00:00:00,2018-12-24 12:00:00,sell,0.03,1292.19,1261.18,93.05,3.9,low,flip
2018-12-24 12:00:00,2021-02-18 20:00:00,buy,0.03,1261.18,1774.94,1541.3,54.33,low,flip
2021-02-18 20:00:00,2021-05-11 08:00:00,sell,0.02,1774.94,1835.32,-120.75,-2.85,low,flip
2021-05-11 08:00:00,2021-06-29 12:00:00,buy,0.03,1835.32,1770.11,-195.61,-4.25,low,flip
2021-06-29 12:00:00,2021-11-12 00:00:00,sell,0.03,1770.11,1862.48,-277.11,-6.54,low,flip
2021-11-12 00:00:00,2022-05-16 00:00:00,buy,0.02,1862.48,1812.73,-99.51,-2.69,low,flip
2022-05-16 00:00:00,2022-12-05 00:00:00,sell,0.02,1812.73,1799.09,27.28,0.66,low,flip
2022-12-05 00:00:00,2023-08-20 20:00:00,buy,0.02,1799.09,1889.05,179.93,5.0,low,flip
2023-08-20 20:00:00,2023-10-24 00:00:00,sell,0.03,1889.05,1972.93,-251.64,-6.85,low,flip
2023-10-24 00:00:00,2026-06-10 16:00:00,buy,0.02,1972.93,4146.73,4347.6,100.26,low,flip
2026-06-10 16:00:00,2026-07-13 20:00:00,sell,0.01,4146.73,4000.78,145.95,1.62,low,eod_mark
