open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-02-10 12:00:00,sell,0.04,1061.24,1182.6,-485.45,-16.73,high,flip
2016-02-10 12:00:00,2016-11-22 04:00:00,buy,0.02,1182.6,1217.65,70.09,2.26,med,flip
2016-11-22 04:00:00,2017-04-18 04:00:00,sell,0.02,1217.65,1283.75,-132.2,-4.81,med,flip
2017-04-18 04:00:00,2018-06-22 16:00:00,buy,0.02,1283.75,1268.25,-31.0,-1.5,med,flip
2018-06-22 16:00:00,2018-12-31 20:00:00,sell,0.03,1268.25,1281.72,-40.43,-1.78,med,flip
2018-12-31 20:00:00,2021-03-04 00:00:00,buy,0.03,1281.72,1710.06,1285.01,48.49,med,flip
2021-03-04 00:00:00,2021-05-19 04:00:00,sell,0.01,1710.06,1868.86,-158.81,-5.94,med,flip
2021-05-19 04:00:00,2022-07-08 08:00:00,buy,0.02,1868.86,1736.15,-265.43,-8.86,med,flip
2022-07-08 08:00:00,2022-12-21 16:00:00,sell,0.02,1736.15,1817.96,-163.63,-4.57,med,flip
2022-12-21 16:00:00,2023-10-03 20:00:00,buy,0.02,1817.96,1823.6,11.27,0.34,med,flip
2023-10-03 20:00:00,2023-10-27 12:00:00,sell,0.02,1823.6,1987.13,-327.06,-9.76,med,flip
2023-10-27 12:00:00,2026-06-25 12:00:00,buy,0.01,1987.13,3988.84,2001.71,106.55,med,flip
2026-06-25 12:00:00,2026-07-13 20:00:00,sell,0.01,3988.84,4000.78,-11.94,-0.13,med,eod_mark
